Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,17910,18262,36172,Gwa,MMR012017
 Illiterate,821,1342,2163,Gwa,MMR012017
 Total,18731,19604,38335,Gwa,MMR012017
