Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,59816,66081,125897,Tharyarwaddy,MMR008007
 Illiterate,3169,5312,8481,Tharyarwaddy,MMR008007
 Total,62985,71393,134378,Tharyarwaddy,MMR008007
