Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,92063,100680,192743,Thakayta,MMR013013
 Illiterate,2211,4523,6734,Thakayta,MMR013013
 Total,94274,105203,199477,Thakayta,MMR013013
