Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,49369,59661,109030,Yenangyoung,MMR009002
 Illiterate,2464,7731,10195,Yenangyoung,MMR009002
 Total,51833,67392,119225,Yenangyoung,MMR009002
