Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,61944,70435,132379,Kyauktaw,MMR012004
 Illiterate,6354,16759,23113,Kyauktaw,MMR012004
 Total,68298,87194,155492,Kyauktaw,MMR012004
