Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,101939,112784,214723,Taungdwingyi,MMR009004
 Illiterate,5125,12302,17427,Taungdwingyi,MMR009004
 Total,107064,125086,232150,Taungdwingyi,MMR009004
