Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,98277,110445,208722,Toungoo,MMR007009
 Illiterate,5490,10522,16012,Toungoo,MMR007009
 Total,103767,120967,224734,Toungoo,MMR007009
