Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,98728,109911,208639,Pyawbwe,MMR010024
 Illiterate,4869,19229,24098,Pyawbwe,MMR010024
 Total,103597,129140,232737,Pyawbwe,MMR010024
