Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,41697,46508,88205,Kyaukkyi,MMR007011
 Illiterate,4653,6162,10815,Kyaukkyi,MMR007011
 Total,46350,52670,99020,Kyaukkyi,MMR007011
