Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,52049,53226,105275,Paukkhaung,MMR008002
 Illiterate,2812,5640,8452,Paukkhaung,MMR008002
 Total,54861,58866,113727,Paukkhaung,MMR008002
