Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,83278,88398,171676,Yaedashe,MMR007010
 Illiterate,4641,10238,14879,Yaedashe,MMR007010
 Total,87919,98636,186555,Yaedashe,MMR007010
