Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,22016,20180,42196,Panglong(ST),MMR014011
 Illiterate,6115,12570,18685,Panglong(ST),MMR014011
 Total,28131,32750,60881,Panglong(ST),MMR014011
