Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,60425,66382,126807,Kyaikemaraw,MMR011002
 Illiterate,14265,22350,36615,Kyaikemaraw,MMR011002
 Total,74690,88732,163422,Kyaikemaraw,MMR011002
