Urban_Rural,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Urban,3255,4031,7286,Pauk,MMR009021
 Rural,75775,88453,164228,Pauk,MMR009021
 Total,79030,92484,171514,Pauk,MMR009021
 Urban,4063,5018,9081,Seikphyu,MMR009022
 Rural,42846,50842,93688,Seikphyu,MMR009022
 Total,46909,55860,102769,Seikphyu,MMR009022
 Urban,6449,7490,13939,Gangaw,MMR009023
 Rural,56971,62385,119356,Gangaw,MMR009023
 Total,63420,69875,133295,Gangaw,MMR009023
 Urban,2084,2438,4522,Htilin,MMR009024
 Rural,20775,23569,44344,Htilin,MMR009024
 Total,22859,26007,48866,Htilin,MMR009024
 Urban,2226,2636,4862,Saw,MMR009025
 Rural,14983,15987,30970,Saw,MMR009025
 Total,17209,18623,35832,Saw,MMR009025
 Urban,2164,2447,4611,Kyaukhtu(ST),MMR009025
 Rural,13173,15081,28254,Kyaukhtu(ST),MMR009025
 Total,15337,17528,32865,Kyaukhtu(ST),MMR009025
 Urban,129959,135820,265779,Aungmyetharzan,MMR010001
 Total,129959,135820,265779,Aungmyetharzan,MMR010001
 Urban,93245,103930,197175,Chanayeharzan,MMR010002
 Total,93245,103930,197175,Chanayeharzan,MMR010002
 Urban,116903,124210,241113,Mahaaungmye,MMR010003
 Total,116903,124210,241113,Mahaaungmye,MMR010003
 Urban,137528,146253,283781,Chanmyatharzi,MMR010004
 Total,137528,146253,283781,Chanmyatharzi,MMR010004
 Urban,120794,116904,237698,Pyigyidagun,MMR010005
 Total,120794,116904,237698,Pyigyidagun,MMR010005
 Urban,38959,41865,80824,Amarapura,MMR010006
 Rural,75522,81272,156794,Amarapura,MMR010006
 Total,114481,123137,237618,Amarapura,MMR010006
 Urban,6125,6957,13082,Patheingyi,MMR010007
 Rural,122879,127764,250643,Patheingyi,MMR010007
 Total,129004,134721,263725,Patheingyi,MMR010007
 Urban,79153,79630,158783,Pyin Oo Lwin,MMR010008
 Rural,48874,47851,96725,Pyin Oo Lwin,MMR010008
 Total,128027,127481,255508,Pyin Oo Lwin,MMR010008
 Urban,11473,12761,24234,Madaya,MMR010009
 Rural,111406,122361,233767,Madaya,MMR010009
 Total,122879,135122,258001,Madaya,MMR010009
 Urban,3546,3847,7393,Sinku,MMR010010
 Rural,73228,76964,150192,Sinku,MMR010010
 Total,76774,80811,157585,Sinku,MMR010010
 Urban,37664,39945,77609,Mogok,MMR010011
 Rural,47228,42312,89540,Mogok,MMR010011
 Total,84892,82257,167149,Mogok,MMR010011
 Urban,2801,2829,5630,Thabeikkyin,MMR010012
 Rural,62818,59384,122202,Thabeikkyin,MMR010012
 Total,65619,62213,127832,Thabeikkyin,MMR010012
 Urban,3957,4178,8135,Tagaung,MMR010012
 Rural,13652,14083,27735,Tagaung,MMR010012
 Total,17609,18261,35870,Tagaung,MMR010012
 Urban,19775,21707,41482,Kyaukse,MMR010013
 Rural,104764,111661,216425,Kyaukse,MMR010013
 Total,124539,133368,257907,Kyaukse,MMR010013
 Urban,3774,4516,8290,Singaing,MMR010014
 Rural,67387,73241,140628,Singaing,MMR010014
 Total,71161,77757,148918,Singaing,MMR010014
 Urban,9081,10261,19342,Myitthar,MMR010015
 Rural,83591,92696,176287,Myitthar,MMR010015
 Total,92672,102957,195629,Myitthar,MMR010015
 Urban,5800,6589,12389,Tada U,MMR010016
 Rural,58954,67274,126228,Tada U,MMR010016
 Total,64754,73863,138617,Tada U,MMR010016
 Urban,40016,47692,87708,Myingyan,MMR010017
 Rural,84084,104304,188388,Myingyan,MMR010017
 Total,124100,151996,276096,Myingyan,MMR010017
 Urban,8107,9421,17528,Taungtha,MMR010018
 Rural,89054,110060,199114,Taungtha,MMR010018
 Total,97161,119481,216642,Taungtha,MMR010018
 Urban,5975,6843,12818,Natogyi,MMR010019
 Rural,74873,89387,164260,Natogyi,MMR010019
 Total,80848,96230,177078,Natogyi,MMR010019
 Urban,19939,22878,42817,Kyaukpadaung,MMR010020
 Rural,96686,122405,219091,Kyaukpadaung,MMR010020
 Total,116625,145283,261908,Kyaukpadaung,MMR010020
 Urban,3248,3832,7080,Ngazun,MMR010021
 Rural,53421,63732,117153,Ngazun,MMR010021
 Total,56669,67564,124233,Ngazun,MMR010021
 Urban,23354,25174,48528,Nyaung U,MMR010022
 Rural,68154,81503,149657,Nyaung U,MMR010022
 Total,91508,106677,198185,Nyaung U,MMR010022
 Urban,13689,14009,27698,Yame`thin,MMR010023
 Rural,111679,118714,230393,Yame`thin,MMR010023
 Total,125368,132723,258091,Yame`thin,MMR010023
 Urban,14741,17473,32214,Pyawbwe,MMR010024
 Rural,104494,123585,228079,Pyawbwe,MMR010024
 Total,119235,141058,260293,Pyawbwe,MMR010024
 Urban,51067,60455,111522,Meiktila,MMR010028
 Rural,91720,106421,198141,Meiktila,MMR010028
 Total,142787,166876,309663,Meiktila,MMR010028
 Urban,9287,11274,20561,Thazi,MMR010030
 Rural,86176,95943,182119,Thazi,MMR010030
 Total,95463,107217,202680,Thazi,MMR010030
 Urban,14656,17902,32558,Wundwin,MMR010031
 Rural,91558,105644,197202,Wundwin,MMR010031
 Total,106214,123546,229760,Wundwin,MMR010031
 Urban,122052,131682,253734,Mawlamyine,MMR011001
 Rural,16974,18680,35654,Mawlamyine,MMR011001
 Total,139026,150362,289388,Mawlamyine,MMR011001
 Urban,4936,6085,11021,Kyaikemaraw,MMR011002
 Rural,87810,96979,184789,Kyaikemaraw,MMR011002
 Total,92746,103064,195810,Kyaikemaraw,MMR011002
 Urban,3538,4189,7727,Chaungzon,MMR011003
 Rural,52058,62341,114399,Chaungzon,MMR011003
 Total,55596,66530,122126,Chaungzon,MMR011003
 Urban,27345,29863,57208,Thanbyuzayat,MMR011004
 Rural,54104,59224,113328,Thanbyuzayat,MMR011004
 Total,81449,89087,170536,Thanbyuzayat,MMR011004
 Urban,24801,27713,52514,Mudon,MMR011005
 Rural,65175,73048,138223,Mudon,MMR011005
 Total,89976,100761,190737,Mudon,MMR011005
 Urban,16619,17811,34430,Ye,MMR011006
 Rural,59470,58585,118055,Ye,MMR011006
 Total,76089,76396,152485,Ye,MMR011006
 Urban,6360,7254,13614,Lamine,MMR011006
 Rural,35274,39588,74862,Lamine,MMR011006
 Total,41634,46842,88476,Lamine,MMR011006
 Urban,1924,1920,3844,Khawzar,MMR011006
 Rural,9236,9583,18819,Khawzar,MMR011006
 Total,11160,11503,22663,Khawzar,MMR011006
 Urban,26585,28462,55047,Thaton,MMR011007
 Rural,89809,93250,183059,Thaton,MMR011007
 Total,116394,121712,238106,Thaton,MMR011007
 Urban,13871,15563,29434,Paung,MMR011008
 Rural,91500,97525,189025,Paung,MMR011008
 Total,105371,113088,218459,Paung,MMR011008
 Urban,16622,18602,35224,Kyaikto,MMR011009
 Rural,73409,75899,149308,Kyaikto,MMR011009
 Total,90031,94501,184532,Kyaikto,MMR011009
 Urban,8908,9484,18392,Bilin,MMR011010
 Rural,79012,83671,162683,Bilin,MMR011010
 Total,87920,93155,181075,Bilin,MMR011010
 Urban,47880,52868,100748,Sittway,MMR012001
 Rural,22590,24561,47151,Sittway,MMR012001
 Total,70470,77429,147899,Sittway,MMR012001
 Urban,5912,6779,12691,Ponnagyun,MMR012002
 Rural,54067,62995,117062,Ponnagyun,MMR012002
 Total,59979,69774,129753,Ponnagyun,MMR012002
 Urban,5946,6768,12714,Pauktaw,MMR012007
 Rural,62249,70994,133243,Pauktaw,MMR012007
 Total,68195,77762,145957,Pauktaw,MMR012007
 Urban,3409,4102,7511,Yethedaung,MMR012008
 Rural,46617,57846,104463,Yethedaung,MMR012008
 Total,50026,61948,111974,Yethedaung,MMR012008
 Urban,16836,19303,36139,Myauk U,MMR012003
 Rural,70838,82653,153491,Myauk U,MMR012003
 Total,87674,101956,189630,Myauk U,MMR012003
 Urban,8745,10747,19492,Kyauktaw,MMR012004
 Rural,69296,84312,153608,Kyauktaw,MMR012004
 Total,78041,95059,173100,Kyauktaw,MMR012004
 Urban,10656,12288,22944,Minbya,MMR012005
 Rural,68219,78045,146264,Minbya,MMR012005
 Total,78875,90333,169208,Minbya,MMR012005
 Urban,5387,6179,11566,Myebon,MMR012006
 Rural,59972,65655,125627,Myebon,MMR012006
 Total,65359,71834,137193,Myebon,MMR012006
 Urban,5847,5895,11742,Maungtaw,MMR012009
 Rural,13931,12526,26457,Maungtaw,MMR012009
 Total,19778,18421,38199,Maungtaw,MMR012009
 Urban,4345,5367,9712,Buthidaung,MMR012010
 Rural,23373,22460,45833,Buthidaung,MMR012010
 Total,27718,27827,55545,Buthidaung,MMR012010
 Urban,387,340,727,Taungpyoletwe(ST),MMR012009
 Rural,933,926,1859,Taungpyoletwe(ST),MMR012009
 Total,1320,1266,2586,Taungpyoletwe(ST),MMR012009
 Urban,10145,10721,20866,Kyaukpyu,MMR012011
 Rural,68617,75869,144486,Kyaukpyu,MMR012011
 Total,78762,86590,165352,Kyaukpyu,MMR012011
 Urban,2310,2936,5246,Mannaung,MMR017011
 Rural,22647,29073,51720,Mannaung,MMR017011
 Total,24957,32009,56966,Mannaung,MMR017011
 Urban,4493,5381,9874,Yanbye,MMR012013
 Rural,40273,47744,88017,Yanbye,MMR012013
 Total,44766,53125,97891,Yanbye,MMR012013
 Urban,4110,4404,8514,An,MMR012014
 Rural,54713,56487,111200,An,MMR012014
 Total,58823,60891,119714,An,MMR012014
 Urban,6731,7596,14327,Thandwe,MMR012015
 Rural,58391,60766,119157,Thandwe,MMR012015
 Total,65122,68362,133484,Thandwe,MMR012015
 Urban,13562,15090,28652,Toungup,MMR012016
 Rural,42111,43674,85785,Toungup,MMR012016
 Total,55673,58764,114437,Toungup,MMR012016
 Urban,4680,4830,9510,Gwa,MMR012017
 Rural,16478,16446,32924,Gwa,MMR012017
 Total,21158,21276,42434,Gwa,MMR012017
 Urban,2655,2780,5435,Maei(ST),MMR012016
 Rural,18929,19540,38469,Maei(ST),MMR012016
 Total,21584,22320,43904,Maei(ST),MMR012016
 Urban,2821,3057,5878,Kyeintali(ST),MMR012017
 Rural,8601,9102,17703,Kyeintali(ST),MMR012017
 Total,11422,12159,23581,Kyeintali(ST),MMR012017
 Urban,146158,159125,305283,Insein,MMR013001
 Total,146158,159125,305283,Insein,MMR013001
 Urban,95814,102582,198396,Mingaladon,MMR013002
 Rural,62445,70745,133190,Mingaladon,MMR013002
 Total,158259,173327,331586,Mingaladon,MMR013002
 Urban,12285,13675,25960,Hmawby,MMR013003
 Rural,108646,110001,218647,Hmawby,MMR013003
 Total,120931,123676,244607,Hmawby,MMR013003
 Urban,18906,21172,40078,Hlegu,MMR013004
 Rural,115181,115482,230663,Hlegu,MMR013004
 Total,134087,136654,270741,Hlegu,MMR013004
 Urban,42161,45839,88000,Taikkyi,MMR013005
 Rural,92553,96715,189268,Taikkyi,MMR013005
 Total,134714,142554,277268,Taikkyi,MMR013005
 Urban,4318,4701,9019,Htantabin,MMR013006
 Rural,67489,69284,136773,Htantabin,MMR013006
 Total,71807,73985,145792,Htantabin,MMR013006
 Urban,133915,145880,279795,Shwepyitha,MMR013007
 Rural,30349,33382,63731,Shwepyitha,MMR013007
 Total,164264,179262,343526,Shwepyitha,MMR013007
 Urban,223568,258560,482128,Hlinethaya,MMR013008
 Rural,99294,106445,205739,Hlinethaya,MMR013008
 Total,322862,365005,687867,Hlinethaya,MMR013008
 Urban,98698,110788,209486,Thingangyun,MMR013009
 Total,98698,110788,209486,Thingangyun,MMR013009
 Urban,32724,38222,70946,Yankin,MMR013010
 Total,32724,38222,70946,Yankin,MMR013010
 Urban,75547,85579,161126,South Okkalapa,MMR013011
 Total,75547,85579,161126,South Okkalapa,MMR013011
 Urban,156340,176953,333293,North Okkalapa,MMR013012
 Total,156340,176953,333293,North Okkalapa,MMR013012
 Urban,107290,113266,220556,Thakayta,MMR013013
 Total,107290,113266,220556,Thakayta,MMR013013
 Urban,36745,38580,75325,Dawbon,MMR013014
 Total,36745,38580,75325,Dawbon,MMR013014
 Urban,74662,90651,165313,Tamway,MMR013015
 Total,74662,90651,165313,Tamway,MMR013015
 Urban,22131,26324,48455,Pazuntaung,MMR013016
 Total,22131,26324,48455,Pazuntaung,MMR013016
 Urban,19416,21579,40995,Botahtaung,MMR013017
 Total,19416,21579,40995,Botahtaung,MMR013017
 Urban,181140,190506,371646,Dagon Myothit(South),MMR013018
 Total,181140,190506,371646,Dagon Myothit(South),MMR013018
 Urban,96388,107560,203948,Dagon Myothit(North),MMR013019
 Total,96388,107560,203948,Dagon Myothit(North),MMR013019
 Urban,76015,80229,156244,Dagon Myothit(East),MMR013020
 Rural,4846,4538,9384,Dagon Myothit(East),MMR013020
 Total,80861,84767,165628,Dagon Myothit(East),MMR013020
 Urban,73906,76170,150076,Dagon Myothit(Seik),MMR013021
 Rural,8791,8581,17372,Dagon Myothit(Seik),MMR013021
 Total,82697,84751,167448,Dagon Myothit(Seik),MMR013021
 Urban,62530,69964,132494,Mingala Taungnyunt,MMR013022
 Total,62530,69964,132494,Mingala Taungnyunt,MMR013022
 Urban,41110,44955,86065,Thanlyin,MMR013023
 Rural,89427,92571,181998,Thanlyin,MMR013023
 Total,130537,137526,268063,Thanlyin,MMR013023
 Urban,20541,22237,42778,Kyauktan,MMR013024
 Rural,43837,46150,89987,Kyauktan,MMR013024
 Total,64378,68387,132765,Kyauktan,MMR013024
 Urban,13194,14824,28018,Thongwa,MMR013025
 Rural,62298,67560,129858,Thongwa,MMR013025
 Total,75492,82384,157876,Thongwa,MMR013025
 Urban,15436,17541,32977,Khayan,MMR013026
 Rural,60074,64968,125042,Khayan,MMR013026
 Total,75510,82509,158019,Khayan,MMR013026
 Urban,20752,22340,43092,Twantay,MMR013027
 Rural,90499,93245,183744,Twantay,MMR013027
 Total,111251,115585,226836,Twantay,MMR013027
 Urban,4119,4481,8600,Kawhmu,MMR013028
 Rural,54180,56270,110450,Kawhmu,MMR013028
 Total,58299,60751,119050,Kawhmu,MMR013028
 Urban,7931,8696,16627,Kungyangon,MMR013029
 Rural,46176,48829,95005,Kungyangon,MMR013029
 Total,54107,57525,111632,Kungyangon,MMR013029
 Urban,58358,61008,119366,Dala,MMR013030
 Rural,26313,27178,53491,Dala,MMR013030
 Total,84671,88186,172857,Dala,MMR013030
 Urban,1294,646,1940,Cocogyun,MMR013032
 Total,1294,646,1940,Cocogyun,MMR013032
 Urban,4302,4532,8834,Tada(ST),MMR013024
 Rural,12776,13073,25849,Tada(ST),MMR013024
 Total,17078,17605,34683,Tada(ST),MMR013024
 Urban,13777,16076,29853,Kyauktada,MMR013033
 Total,13777,16076,29853,Kyauktada,MMR013033
 Urban,15171,18165,33336,Pabedan,MMR013034
 Total,15171,18165,33336,Pabedan,MMR013034
 Urban,20180,26980,47160,Lanmadaw,MMR013035
 Total,20180,26980,47160,Lanmadaw,MMR013035
 Urban,10728,14329,25057,Latha,MMR013036
 Total,10728,14329,25057,Latha,MMR013036
 Urban,25551,29931,55482,Ahlon,MMR013037
 Total,25551,29931,55482,Ahlon,MMR013037
 Urban,52627,58887,111514,Kyimyindine,MMR013038
 Total,52627,58887,111514,Kyimyindine,MMR013038
 Urban,43993,55626,99619,Sangyoung,MMR013039
 Total,43993,55626,99619,Sangyoung,MMR013039
 Urban,75029,85278,160307,Hline,MMR013040
 Total,75029,85278,160307,Hline,MMR013040
 Urban,36958,47611,84569,Kamayut,MMR013041
 Total,36958,47611,84569,Kamayut,MMR013041
 Urban,93392,104721,198113,Mayangon,MMR013042
 Total,93392,104721,198113,Mayangon,MMR013042
 Urban,11846,13236,25082,Dagon,MMR013043
 Total,11846,13236,25082,Dagon,MMR013043
 Urban,45518,51214,96732,Bahan,MMR013044
 Total,45518,51214,96732,Bahan,MMR013044
 Urban,1697,1129,2826,Seikkan,MMR013045
 Total,1697,1129,2826,Seikkan,MMR013045
 Urban,126928,137876,264804,Taunggyi,MMR014001
 Rural,59026,57809,116835,Taunggyi,MMR014001
 Total,185954,195685,381639,Taunggyi,MMR014001
 Urban,8174,8034,16208,Nyaungshwe,MMR014002
 Rural,86363,86836,173199,Nyaungshwe,MMR014002
 Total,94537,94870,189407,Nyaungshwe,MMR014002
 Urban,12106,10734,22840,Hopon,MMR014003
 Rural,43429,46079,89508,Hopon,MMR014003
 Total,55535,56813,112348,Hopon,MMR014003
 Urban,6029,6044,12073,Hsihseng,MMR014004
 Rural,68707,72252,140959,Hsihseng,MMR014004
 Total,74736,78296,153032,Hsihseng,MMR014004
 Urban,28672,29125,57797,Kalaw,MMR014005
 Rural,64420,63866,128286,Kalaw,MMR014005
 Total,93092,92991,186083,Kalaw,MMR014005
 Urban,5161,5601,10762,Pindaya,MMR014006
 Rural,33307,35234,68541,Pindaya,MMR014006
 Total,38468,40835,79303,Pindaya,MMR014006
 Urban,2220,2297,4517,Ywarngan,MMR014007
 Rural,38829,39186,78015,Ywarngan,MMR014007
 Total,41049,41483,82532,Ywarngan,MMR014007
 Urban,16175,13358,29533,Yatsauk,MMR014008
 Rural,48786,48248,97034,Yatsauk,MMR014008
 Total,64961,61606,126567,Yatsauk,MMR014008
 Urban,6531,6098,12629,Pinlaung,MMR014009
 Rural,50880,51538,102418,Pinlaung,MMR014009
 Total,57411,57636,115047,Pinlaung,MMR014009
 Urban,8357,8189,16546,Phekon,MMR014010
 Rural,43936,43108,87044,Phekon,MMR014010
 Total,52293,51297,103590,Phekon,MMR014010
 Urban,1454,1712,3166,Kyauktalongyi(ST),MMR014001
 Rural,25792,27459,53251,Kyauktalongyi(ST),MMR014001
 Total,27246,29171,56417,Kyauktalongyi(ST),MMR014001
 Urban,4171,4081,8252,Indaw(ST),MMR014008
 Rural,15194,14717,29911,Indaw(ST),MMR014008
 Total,19365,18798,38163,Indaw(ST),MMR014008
 Urban,2425,2436,4861,Naungtayar(ST),MMR014009
 Rural,35522,36827,72349,Naungtayar(ST),MMR014009
 Total,37947,39263,77210,Naungtayar(ST),MMR014009
 Urban,6417,7043,13460,Loilem,MMR014011
 Rural,18814,20097,38911,Loilem,MMR014011
 Total,25231,27140,52371,Loilem,MMR014011
 Urban,3845,4156,8001,Le`char,MMR014012
 Rural,19801,21029,40830,Le`char,MMR014012
 Total,23646,25185,48831,Le`char,MMR014012
 Urban,11946,11846,23792,Nanhsam(South),MMR014013
 Rural,34596,33914,68510,Nanhsam(South),MMR014013
 Total,46542,45760,92302,Nanhsam(South),MMR014013
 Urban,3767,3814,7581,Kunhing,MMR014014
 Rural,7105,7137,14242,Kunhing,MMR014014
 Total,10872,10951,21823,Kunhing,MMR014014
 Urban,2105,2177,4282,Kehsi,MMR014015
 Rural,18800,21418,40218,Kehsi,MMR014015
 Total,20905,23595,44500,Kehsi,MMR014015
 Urban,5156,5464,10620,Mongkai,MMR014016
 Rural,29966,33708,63674,Mongkai,MMR014016
 Total,35122,39172,74294,Mongkai,MMR014016
 Urban,4839,4970,9809,Mineshu,MMR014017
 Rural,15524,17362,32886,Mineshu,MMR014017
 Total,20363,22332,42695,Mineshu,MMR014017
 Urban,13615,13500,27115,Panglong(ST),MMR014011
 Rural,21713,23358,45071,Panglong(ST),MMR014011
 Total,35328,36858,72186,Panglong(ST),MMR014011
 Urban,4719,4751,9470,Kholan(ST),MMR014013
 Rural,8030,7159,15189,Kholan(ST),MMR014013
 Total,12749,11910,24659,Kholan(ST),MMR014013
 Urban,3870,3909,7779,Karli(ST),MMR014014
 Rural,11881,11920,23801,Karli(ST),MMR014014
 Total,15751,15829,31580,Karli(ST),MMR014014
 Urban,1927,2121,4048,Minenaung(ST),MMR014015
 Rural,12592,13224,25816,Minenaung(ST),MMR014015
 Total,14519,15345,29864,Minenaung(ST),MMR014015
 Urban,1331,1144,2475,Minesan(Monsan)(ST),MMR014017
 Rural,14548,13034,27582,Minesan(Monsan)(ST),MMR014017
 Total,15879,14178,30057,Minesan(Monsan)(ST),MMR014017
 Urban,3189,3295,6484,Linkhe`,MMR014018
 Rural,13494,13503,26997,Linkhe`,MMR014018
 Total,16683,16798,33481,Linkhe`,MMR014018
 Urban,4735,5032,9767,Mone`,MMR014019
 Rural,9319,9554,18873,Mone`,MMR014019
 Total,14054,14586,28640,Mone`,MMR014019
 Urban,2686,2536,5222,Maukme`,MMR014020
 Rural,13860,14728,28588,Maukme`,MMR014020
 Total,16546,17264,33810,Maukme`,MMR014020
 Urban,4712,4260,8972,Minepan,MMR014021
 Rural,9117,7837,16954,Minepan,MMR014021
 Total,13829,12097,25926,Minepan,MMR014021
 Urban,1770,1676,3446,Homane(ST),MMR014018
 Rural,1753,1631,3384,Homane(ST),MMR014018
 Total,3523,3307,6830,Homane(ST),MMR014018
 Urban,5535,4456,9991,Kengtaung(ST),MMR014019
 Rural,402,403,805,Kengtaung(ST),MMR014019
 Total,5937,4859,10796,Kengtaung(ST),MMR014019
 Urban,84331,90004,174335,Lashio,MMR015001
 Rural,74181,74889,149070,Lashio,MMR015001
 Total,158512,164893,323405,Lashio,MMR015001
 Urban,4449,4703,9152,Theinni,MMR015002
 Rural,24155,23355,47510,Theinni,MMR015002
 Total,28604,28058,56662,Theinni,MMR015002
 Urban,3594,3452,7046,Mineye`,MMR015003
 Rural,24797,27533,52330,Mineye`,MMR015003
 Total,28391,30985,59376,Mineye`,MMR015003
 Urban,16305,17298,33603,Tantyan,MMR015004
 Rural,67718,71484,139202,Tantyan,MMR015004
 Total,84023,88782,172805,Tantyan,MMR015004
 Urban,38448,35865,74313,MuSe,MMR015009
 Rural,22498,20696,43194,MuSe,MMR015009
 Total,60946,56561,117507,MuSe,MMR015009
 Urban,14171,16098,30269,Namkham,MMR015010
 Rural,37144,39621,76765,Namkham,MMR015010
 Total,51315,55719,107034,Namkham,MMR015010
 Urban,12226,12737,24963,Kukai,MMR015011
 Rural,38021,38350,76371,Kukai,MMR015011
 Total,50247,51087,101334,Kukai,MMR015011
 Urban,4527,4320,8847,Monekoe(ST),MMR015009
 Rural,8218,7500,15718,Monekoe(ST),MMR015009
 Total,12745,11820,24565,Monekoe(ST),MMR015009
 Urban,684,754,1438,Manhero(ST),MMR015009
 Rural,2558,2791,5349,Manhero(ST),MMR015009
 Total,3242,3545,6787,Manhero(ST),MMR015009
 Urban,4710,4820,9530,Pansai(KyuKute)(ST),MMR015009
 Rural,6759,6661,13420,Pansai(KyuKute)(ST),MMR015009
 Total,11469,11481,22950,Pansai(KyuKute)(ST),MMR015009
 Urban,7452,7223,14675,Tamoenye(ST),MMR015011
 Rural,29743,28900,58643,Tamoenye(ST),MMR015011
 Total,37195,36123,73318,Tamoenye(ST),MMR015011
 Urban,19111,20819,39930,Kyukme,MMR015012
 Rural,42533,45097,87630,Kyukme,MMR015012
 Total,61644,65916,127560,Kyukme,MMR015012
 Urban,9093,9729,18822,Naungkhio,MMR015013
 Rural,66668,64352,131020,Naungkhio,MMR015013
 Total,75761,74081,149842,Naungkhio,MMR015013
 Urban,10202,10695,20897,Hsipaw,MMR015014
 Rural,75634,79627,155261,Hsipaw,MMR015014
 Total,85836,90322,176158,Hsipaw,MMR015014
 Urban,6171,7127,13298,Namtu,MMR015015
 Rural,18277,18848,37125,Namtu,MMR015015
 Total,24448,25975,50423,Namtu,MMR015015
 Urban,1982,2156,4138,Namsan(North),MMR015016
 Rural,30726,37340,68066,Namsan(North),MMR015016
 Total,32708,39496,72204,Namsan(North),MMR015016
 Urban,4778,5482,10260,Momeik,MMR015017
 Rural,26767,26303,53070,Momeik,MMR015017
 Total,31545,31785,63330,Momeik,MMR015017
 Urban,1619,1622,3241,Mabane,MMR015018
 Rural,22875,21282,44157,Mabane,MMR015018
 Total,24494,22904,47398,Mabane,MMR015018
 Urban,2090,2012,4102,Manton,MMR015019
 Rural,16472,18027,34499,Manton,MMR015019
 Total,18562,20039,38601,Manton,MMR015019
 Urban,1220,1213,2433,Minengaw(ST),MMR015012
 Rural,7613,8855,16468,Minengaw(ST),MMR015012
 Total,8833,10068,18901,Minengaw(ST),MMR015012
 Urban,1170,1178,2348,Minelon(ST),MMR015012
 Rural,11102,12198,23300,Minelon(ST),MMR015012
 Total,12272,13376,25648,Minelon(ST),MMR015012
 Urban,2756,2793,5549,Kunlon,MMR015020
 Rural,28144,25081,53225,Kunlon,MMR015020
 Total,30900,27874,58774,Kunlon,MMR015020
 Urban,12125,11310,23435,Laukine,MMR015022
 Rural,35270,31256,66526,Laukine,MMR015022
 Total,47395,42566,89961,Laukine,MMR015022
 Urban,664,522,1186,Kongyan,MMR015023
 Rural,16808,15778,32586,Kongyan,MMR015023
 Total,17472,16300,33772,Kongyan,MMR015023
 Urban,1731,1407,3138,Chinshwehaw(ST),MMR015022
 Rural,907,844,1751,Chinshwehaw(ST),MMR015022
 Total,2638,2251,4889,Chinshwehaw(ST),MMR015022
 Urban,220,204,424,Mawhtike(ST),MMR015023
 Rural,13379,12487,25866,Mawhtike(ST),MMR015023
 Total,13599,12691,26290,Mawhtike(ST),MMR015023
 Urban,8640,8253,16893,Hopan,MMR015021
 Rural,19629,18372,38001,Hopan,MMR015021
 Total,28269,26625,54894,Hopan,MMR015021
 Urban,2895,2760,5655,Minemaw,MMR015008
 Rural,33418,31610,65028,Minemaw,MMR015008
 Total,36313,34370,70683,Minemaw,MMR015008
 Urban,1757,1679,3436,Panwine,MMR015007
 Rural,47034,46627,93661,Panwine,MMR015007
 Total,48791,48306,97097,Panwine,MMR015007
 Urban,1805,1764,3569,Panlon(ST),MMR015021
 Rural,1395,1242,2637,Panlon(ST),MMR015021
 Total,3200,3006,6206,Panlon(ST),MMR015021
 Urban,170,122,292,Makman,MMR015024
 Rural,9898,9542,19440,Makman,MMR015024
 Total,10068,9664,19732,Makman,MMR015024
 Urban,8061,7875,15936,Pan San(Pan Kham),MMR015005
 Rural,46140,42253,88393,Pan San(Pan Kham),MMR015005
 Total,54201,50128,104329,Pan San(Pan Kham),MMR015005
 Urban,497,473,970,Naphang,MMR015006
 Rural,58872,56338,115210,Naphang,MMR015006
 Total,59369,56811,116180,Naphang,MMR015006
 Urban,232,187,419,ManKan(ST),MMR015005
 Rural,608,616,1224,ManKan(ST),MMR015005
 Total,840,803,1643,ManKan(ST),MMR015005
 Urban,22212,22077,44289,Kengtung,MMR016001
 Rural,65567,61764,127331,Kengtung,MMR016001
 Total,87779,83841,171620,Kengtung,MMR016001
 Urban,1642,1185,2827,Minekat,MMR016002
 Rural,21231,20470,41701,Minekat,MMR016002
 Total,22873,21655,44528,Minekat,MMR016002
 Urban,2761,2205,4966,Mineyan,MMR016003
 Rural,24219,23406,47625,Mineyan,MMR016003
 Total,26980,25611,52591,Mineyan,MMR016003
 Urban,11028,9425,20453,Minelar,MMR016005
 Rural,11238,11377,22615,Minelar,MMR016005
 Total,22266,20802,43068,Minelar,MMR016005
 Rural,28095,26959,55054,Mine Pauk(ST),MMR016003
 Total,28095,26959,55054,Mine Pauk(ST),MMR016003
 Urban,4449,3555,8004,Minesat,MMR016006
 Rural,41282,37267,78549,Minesat,MMR016006
 Total,45731,40822,86553,Minesat,MMR016006
 Urban,3596,3245,6841,Minepyin,MMR016007
 Rural,23834,23474,47308,Minepyin,MMR016007
 Total,27430,26719,54149,Minepyin,MMR016007
 Urban,3240,2579,5819,Minetung,MMR016008
 Rural,8778,7397,16175,Minetung,MMR016008
 Total,12018,9976,21994,Minetung,MMR016008
 Urban,790,651,1441,Minekoke(ST),MMR016006
 Rural,8753,7902,16655,Minekoke(ST),MMR016006
 Total,9543,8553,18096,Minekoke(ST),MMR016006
 Urban,1073,992,2065,Tontar(ST),MMR016007
 Rural,6489,6130,12619,Tontar(ST),MMR016007
 Total,7562,7122,14684,Tontar(ST),MMR016007
 Urban,1708,1493,3201,Ponparkyin(ST),MMR016008
 Rural,22098,18520,40618,Ponparkyin(ST),MMR016008
