Urban_Rural,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Urban,8148,7908,16056,Thandaunggyi,MMR003004
 Rural,7149,7004,14153,Thandaunggyi,MMR003004
 Total,15297,14912,30209,Thandaunggyi,MMR003004
 Urban,1935,2139,4074,Paingkyon(ST),MMR003002
 Rural,41042,43488,84530,Paingkyon(ST),MMR003002
 Total,42977,45627,88604,Paingkyon(ST),MMR003002
 Urban,290,241,531,Shan Ywathit(ST),MMR003002
 Rural,10673,10531,21204,Shan Ywathit(ST),MMR003002
 Total,10963,10772,21735,Shan Ywathit(ST),MMR003002
 Urban,1628,1465,3093,Leiktho(ST),MMR003004
 Rural,23075,22438,45513,Leiktho(ST),MMR003004
 Total,24703,23903,48606,Leiktho(ST),MMR003004
 Urban,989,1010,1999,Bawgali(ST),MMR003004
 Rural,7528,7710,15238,Bawgali(ST),MMR003004
 Total,8517,8720,17237,Bawgali(ST),MMR003004
 Urban,1720,1608,3328,Pharpon,MMR003003
 Rural,5879,4983,10862,Pharpon,MMR003003
 Total,7599,6591,14190,Pharpon,MMR003003
 Urban,6752,7240,13992,Kamamaung(ST},MMR003003
 Rural,3632,3271,6903,Kamamaung(ST},MMR003003
 Total,10384,10511,20895,Kamamaung(ST},MMR003003
 Urban,57399,55756,113155,Myawady,MMR003005
 Rural,42372,40097,82469,Myawady,MMR003005
 Total,99771,95853,195624,Myawady,MMR003005
 Urban,185,157,342,Sugali(ST),MMR003005
 Rural,2802,2559,5361,Sugali(ST),MMR003005
 Total,2987,2716,5703,Sugali(ST),MMR003005
 Urban,1591,1492,3083,Wawlaymyaing(ST),MMR003005
 Rural,3258,2872,6130,Wawlaymyaing(ST),MMR003005
 Total,4849,4364,9213,Wawlaymyaing(ST),MMR003005
 Urban,20764,22186,42950,Kawkareik,MMR003006
 Rural,84760,92632,177392,Kawkareik,MMR003006
 Total,105524,114818,220342,Kawkareik,MMR003006
 Urban,4428,4657,9085,Kyarinseikkyi,MMR003007
 Rural,47378,49964,97342,Kyarinseikkyi,MMR003007
 Total,51806,54621,106427,Kyarinseikkyi,MMR003007
 Urban,13092,14219,27311,Payarthonezu(ST),MMR003007
 Rural,31508,31665,63173,Payarthonezu(ST),MMR003007
 Total,44600,45884,90484,Payarthonezu(ST),MMR003007
 Urban,1816,1699,3515,Kyaidon(ST),MMR003007
 Rural,27464,26959,54423,Kyaidon(ST),MMR003007
 Total,29280,28658,57938,Kyaidon(ST),MMR003007
 Urban,11759,13167,24926,HaKa,MMR004002
 Rural,11263,12163,23426,HaKa,MMR004002
 Total,23022,25330,48352,HaKa,MMR004002
 Urban,3583,4004,7587,Thantlang,MMR004003
 Rural,20796,21991,42787,Thantlang,MMR004003
 Total,24379,25995,50374,Thantlang,MMR004003
 Urban,4266,4826,9092,Falam,MMR004001
 Rural,16084,16281,32365,Falam,MMR004001
 Total,20350,21107,41457,Falam,MMR004001
 Urban,6289,7163,13452,Tedim,MMR004004
 Rural,35638,38533,74171,Tedim,MMR004004
 Total,41927,45696,87623,Tedim,MMR004004
 Urban,1786,1991,3777,Tonzaung,MMR004005
 Rural,8321,8624,16945,Tonzaung,MMR004005
 Total,10107,10615,20722,Tonzaung,MMR004005
 Urban,1741,1863,3604,Rihkhuadal(ST),MMR004001
 Rural,1532,1484,3016,Rihkhuadal(ST),MMR004001
 Total,3273,3347,6620,Rihkhuadal(ST),MMR004001
 Urban,732,718,1450,Cikha(ST),MMR004005
 Rural,4853,4853,9706,Cikha(ST),MMR004005
 Total,5585,5571,11156,Cikha(ST),MMR004005
 Urban,5267,6238,11505,Mindat,MMR004006
 Rural,14460,16635,31095,Mindat,MMR004006
 Total,19727,22873,42600,Mindat,MMR004006
 Urban,4229,4393,8622,Matupi,MMR004007
 Rural,14451,16013,30464,Matupi,MMR004007
 Total,18680,20406,39086,Matupi,MMR004007
 Urban,2028,2131,4159,Kanpalet,MMR004008
 Rural,8285,9049,17334,Kanpalet,MMR004008
 Total,10313,11180,21493,Kanpalet,MMR004008
 Urban,3064,3310,6374,Paletwat,MMR004009
 Rural,28040,30557,58597,Paletwat,MMR004009
 Total,31104,33867,64971,Paletwat,MMR004009
 Urban,986,1243,2229,Reazu(ST),MMR004007
 Rural,4485,5551,10036,Reazu(ST),MMR004007
 Total,5471,6794,12265,Reazu(ST),MMR004007
 Urban,1468,1564,3032,Sami(ST),MMR004009
 Rural,14198,14852,29050,Sami(ST),MMR004009
 Total,15666,16416,32082,Sami(ST),MMR004009
 Urban,38551,42881,81432,Sagaing,MMR005001
 Rural,104869,120893,225762,Sagaing,MMR005001
 Total,143420,163774,307194,Sagaing,MMR005001
 Urban,7719,8839,16558,Myinmu,MMR005002
 Rural,41230,49198,90428,Myinmu,MMR005002
 Total,48949,58037,106986,Myinmu,MMR005002
 Urban,3523,4272,7795,Myaung,MMR005003
 Rural,44154,54462,98616,Myaung,MMR005003
 Total,47677,58734,106411,Myaung,MMR005003
 Urban,32425,36611,69036,Shwebo,MMR005004
 Rural,76530,89976,166506,Shwebo,MMR005004
 Total,108955,126587,235542,Shwebo,MMR005004
 Urban,5194,6140,11334,Khin U,MMR005005
 Rural,62735,72388,135123,Khin U,MMR005005
 Total,67929,78528,146457,Khin U,MMR005005
 Urban,4931,5883,10814,Wetlet,MMR005006
 Rural,85158,100244,185402,Wetlet,MMR005006
 Total,90089,106127,196216,Wetlet,MMR005006
 Urban,11976,13046,25022,Kambalu,MMR005007
 Rural,127968,142571,270539,Kambalu,MMR005007
 Total,139944,155617,295561,Kambalu,MMR005007
 Urban,5621,6527,12148,Kyunhlau,MMR005008
 Rural,45504,46435,91939,Kyunhlau,MMR005008
 Total,51125,52962,104087,Kyunhlau,MMR005008
 Urban,9580,10878,20458,Ye U,MMR005009
 Rural,41842,55990,97832,Ye U,MMR005009
 Total,51422,66868,118290,Ye U,MMR005009
 Urban,2001,2307,4308,Depayin,MMR005010
 Rural,62395,74112,136507,Depayin,MMR005010
 Total,64396,76419,140815,Depayin,MMR005010
 Urban,6472,7889,14361,Tasei,MMR005011
 Rural,66003,84746,150749,Tasei,MMR005011
 Total,72475,92635,165110,Tasei,MMR005011
 Urban,5056,5647,10703,Kyaukmyaung(ST),MMR005004
 Rural,9625,10937,20562,Kyaukmyaung(ST),MMR005004
 Total,14681,16584,31265,Kyaukmyaung(ST),MMR005004
 Urban,97076,110413,207489,Monywa,MMR005012
 Rural,74875,89731,164606,Monywa,MMR005012
 Total,171951,200144,372095,Monywa,MMR005012
 Urban,2399,2811,5210,Butalin,MMR005013
 Rural,52707,65622,118329,Butalin,MMR005013
 Total,55106,68433,123539,Butalin,MMR005013
 Urban,4369,5147,9516,Ayartaw,MMR005014
 Rural,66365,79888,146253,Ayartaw,MMR005014
 Total,70734,85035,155769,Ayartaw,MMR005014
 Urban,10145,11784,21929,Chaung Oo,MMR005015
