Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,264,1152,1416,Kyeintali(ST),MMR012017
 Grade 1,138,483,621,Kyeintali(ST),MMR012017
 Grade 2,236,682,918,Kyeintali(ST),MMR012017
 Grade 3,329,1185,1514,Kyeintali(ST),MMR012017
 Grade 4,626,2133,2759,Kyeintali(ST),MMR012017
 Grade 5,887,3823,4710,Kyeintali(ST),MMR012017
 Grade 6,508,1170,1678,Kyeintali(ST),MMR012017
 Grade 7,359,969,1328,Kyeintali(ST),MMR012017
 Grade 8,388,1087,1475,Kyeintali(ST),MMR012017
 Grade 9,414,1233,1647,Kyeintali(ST),MMR012017
 Grade 10,445,948,1393,Kyeintali(ST),MMR012017
 Grade 11,440,1104,1544,Kyeintali(ST),MMR012017
 College,83,182,265,Kyeintali(ST),MMR012017
 Vocational training,10,11,21,Kyeintali(ST),MMR012017
 Undergraduate diploma,72,20,92,Kyeintali(ST),MMR012017
 Graduate,301,389,690,Kyeintali(ST),MMR012017
 Postgraduate diploma,9,7,16,Kyeintali(ST),MMR012017
 Master degree,-,2,2,Kyeintali(ST),MMR012017
 PhD,1,-,1,Kyeintali(ST),MMR012017
 Other,1,7,8,Kyeintali(ST),MMR012017
 Total,5511,16587,22098,Kyeintali(ST),MMR012017
