Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,656,16638,17294,Paletwat,MMR004009
 Grade 1,158,3423,3581,Paletwat,MMR004009
 Grade 2,191,3165,3356,Paletwat,MMR004009
 Grade 3,273,3964,4237,Paletwat,MMR004009
 Grade 4,289,3975,4264,Paletwat,MMR004009
 Grade 5,686,6724,7410,Paletwat,MMR004009
 Grade 6,295,2413,2708,Paletwat,MMR004009
 Grade 7,320,1860,2180,Paletwat,MMR004009
 Grade 8,294,1816,2110,Paletwat,MMR004009
 Grade 9,398,1957,2355,Paletwat,MMR004009
 Grade 10,246,1475,1721,Paletwat,MMR004009
 Grade 11,1145,2619,3764,Paletwat,MMR004009
 College,157,143,300,Paletwat,MMR004009
 Vocational training,16,30,46,Paletwat,MMR004009
 Undergraduate diploma,55,39,94,Paletwat,MMR004009
 Graduate,574,266,840,Paletwat,MMR004009
 Postgraduate diploma,22,14,36,Paletwat,MMR004009
 Master degree,5,6,11,Paletwat,MMR004009
 Other,3,13,16,Paletwat,MMR004009
 Total,5783,50540,56323,Paletwat,MMR004009
