Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2547,-,2547,Yankin,MMR013010
 Grade 1,996,-,996,Yankin,MMR013010
 Grade 2,1366,-,1366,Yankin,MMR013010
 Grade 3,1980,-,1980,Yankin,MMR013010
 Grade 4,2833,-,2833,Yankin,MMR013010
 Grade 5,5650,-,5650,Yankin,MMR013010
 Grade 6,3320,-,3320,Yankin,MMR013010
 Grade 7,2712,-,2712,Yankin,MMR013010
 Grade 8,3497,-,3497,Yankin,MMR013010
 Grade 9,4973,-,4973,Yankin,MMR013010
 Grade 10,6134,-,6134,Yankin,MMR013010
 Grade 11,9150,-,9150,Yankin,MMR013010
 College,4140,-,4140,Yankin,MMR013010
 Vocational training,186,-,186,Yankin,MMR013010
 Undergraduate diploma,478,-,478,Yankin,MMR013010
 Graduate,15474,-,15474,Yankin,MMR013010
 Postgraduate diploma,550,-,550,Yankin,MMR013010
 Master degree,773,-,773,Yankin,MMR013010
 PhD,220,-,220,Yankin,MMR013010
 Other,393,-,393,Yankin,MMR013010
 Total,67372,-,67372,Yankin,MMR013010
