Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,551,3357,3908,Palauk(ST),MMR006007
 Grade 1,439,1904,2343,Palauk(ST),MMR006007
 Grade 2,415,2299,2714,Palauk(ST),MMR006007
 Grade 3,503,2866,3369,Palauk(ST),MMR006007
 Grade 4,624,3334,3958,Palauk(ST),MMR006007
 Grade 5,832,5110,5942,Palauk(ST),MMR006007
 Grade 6,398,1860,2258,Palauk(ST),MMR006007
 Grade 7,288,1314,1602,Palauk(ST),MMR006007
 Grade 8,266,1201,1467,Palauk(ST),MMR006007
 Grade 9,325,1197,1522,Palauk(ST),MMR006007
 Grade 10,243,754,997,Palauk(ST),MMR006007
 Grade 11,360,749,1109,Palauk(ST),MMR006007
 College,93,245,338,Palauk(ST),MMR006007
 Vocational training,-,7,7,Palauk(ST),MMR006007
 Undergraduate diploma,12,25,37,Palauk(ST),MMR006007
 Graduate,168,416,584,Palauk(ST),MMR006007
 Postgraduate diploma,7,39,46,Palauk(ST),MMR006007
 Master degree,1,21,22,Palauk(ST),MMR006007
 PhD,-,1,1,Palauk(ST),MMR006007
 Other,-,28,28,Palauk(ST),MMR006007
 Total,5525,26727,32252,Palauk(ST),MMR006007
