Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1948,14962,16910,Mineyaung,MMR016011
 Grade 1,121,663,784,Mineyaung,MMR016011
 Grade 2,139,590,729,Mineyaung,MMR016011
 Grade 3,184,720,904,Mineyaung,MMR016011
 Grade 4,216,665,881,Mineyaung,MMR016011
 Grade 5,230,833,1063,Mineyaung,MMR016011
 Grade 6,186,408,594,Mineyaung,MMR016011
 Grade 7,183,371,554,Mineyaung,MMR016011
 Grade 8,221,322,543,Mineyaung,MMR016011
 Grade 9,278,290,568,Mineyaung,MMR016011
 Grade 10,283,291,574,Mineyaung,MMR016011
 Grade 11,278,243,521,Mineyaung,MMR016011
 College,66,67,133,Mineyaung,MMR016011
 Vocational training,5,4,9,Mineyaung,MMR016011
 Undergraduate diploma,7,11,18,Mineyaung,MMR016011
 Graduate,190,185,375,Mineyaung,MMR016011
 Postgraduate diploma,1,8,9,Mineyaung,MMR016011
 Master degree,3,6,9,Mineyaung,MMR016011
 PhD,-,1,1,Mineyaung,MMR016011
 Other,4,144,148,Mineyaung,MMR016011
 Total,4543,20784,25327,Mineyaung,MMR016011
