Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3185,2112,5297,Tanaing,MMR001004
 Grade 1,998,653,1651,Tanaing,MMR001004
 Grade 2,1365,857,2222,Tanaing,MMR001004
 Grade 3,1825,1396,3221,Tanaing,MMR001004
 Grade 4,2444,1473,3917,Tanaing,MMR001004
 Grade 5,3672,2285,5957,Tanaing,MMR001004
 Grade 6,2266,1237,3503,Tanaing,MMR001004
 Grade 7,2001,1052,3053,Tanaing,MMR001004
 Grade 8,2102,969,3071,Tanaing,MMR001004
 Grade 9,2216,952,3168,Tanaing,MMR001004
 Grade 10,2098,843,2941,Tanaing,MMR001004
 Grade 11,2382,566,2948,Tanaing,MMR001004
 College,656,179,835,Tanaing,MMR001004
 Vocational training,22,8,30,Tanaing,MMR001004
 Undergraduate diploma,37,17,54,Tanaing,MMR001004
 Graduate,1025,156,1181,Tanaing,MMR001004
 Postgraduate diploma,14,8,22,Tanaing,MMR001004
 Master degree,19,4,23,Tanaing,MMR001004
 PhD,2,-,2,Tanaing,MMR001004
 Other,75,47,122,Tanaing,MMR001004
 Total,28404,14814,43218,Tanaing,MMR001004
