Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1195,10426,11621,Thayet,MMR009012
 Grade 1,340,2296,2636,Thayet,MMR009012
 Grade 2,637,3301,3938,Thayet,MMR009012
 Grade 3,873,6311,7184,Thayet,MMR009012
 Grade 4,1385,7677,9062,Thayet,MMR009012
 Grade 5,2729,26441,29170,Thayet,MMR009012
 Grade 6,1073,3608,4681,Thayet,MMR009012
 Grade 7,858,3013,3871,Thayet,MMR009012
 Grade 8,1247,2899,4146,Thayet,MMR009012
 Grade 9,1461,3817,5278,Thayet,MMR009012
 Grade 10,1783,2078,3861,Thayet,MMR009012
 Grade 11,2023,2472,4495,Thayet,MMR009012
 College,873,796,1669,Thayet,MMR009012
 Vocational training,71,41,112,Thayet,MMR009012
 Undergraduate diploma,111,227,338,Thayet,MMR009012
 Graduate,2139,1309,3448,Thayet,MMR009012
 Postgraduate diploma,21,19,40,Thayet,MMR009012
 Master degree,26,5,31,Thayet,MMR009012
 PhD,3,2,5,Thayet,MMR009012
 Other,58,1534,1592,Thayet,MMR009012
 Total,18906,78272,97178,Thayet,MMR009012
