Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,21321,30926,52247,Bago,MMR007001
 Grade 1,6404,8327,14731,Bago,MMR007001
 Grade 2,9843,13470,23313,Bago,MMR007001
 Grade 3,14400,20373,34773,Bago,MMR007001
 Grade 4,22050,24540,46590,Bago,MMR007001
 Grade 5,32238,44719,76957,Bago,MMR007001
 Grade 6,15832,13502,29334,Bago,MMR007001
 Grade 7,13520,10128,23648,Bago,MMR007001
 Grade 8,15066,10112,25178,Bago,MMR007001
 Grade 9,16709,10162,26871,Bago,MMR007001
 Grade 10,18523,7919,26442,Bago,MMR007001
 Grade 11,17790,9525,27315,Bago,MMR007001
 College,7102,2867,9969,Bago,MMR007001
 Vocational training,229,124,353,Bago,MMR007001
 Undergraduate diploma,1138,384,1522,Bago,MMR007001
 Graduate,21745,5914,27659,Bago,MMR007001
 Postgraduate diploma,531,124,655,Bago,MMR007001
 Master degree,430,130,560,Bago,MMR007001
 PhD,95,12,107,Bago,MMR007001
 Other,211,260,471,Bago,MMR007001
 Total,235177,213518,448695,Bago,MMR007001
