Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,530,5494,6024,Mansi,MMR001013
 Grade 1,262,1952,2214,Mansi,MMR001013
 Grade 2,345,2662,3007,Mansi,MMR001013
 Grade 3,494,4168,4662,Mansi,MMR001013
 Grade 4,514,4691,5205,Mansi,MMR001013
 Grade 5,903,6929,7832,Mansi,MMR001013
 Grade 6,608,3361,3969,Mansi,MMR001013
 Grade 7,519,2746,3265,Mansi,MMR001013
 Grade 8,557,2365,2922,Mansi,MMR001013
 Grade 9,592,2162,2754,Mansi,MMR001013
 Grade 10,405,1425,1830,Mansi,MMR001013
 Grade 11,879,1055,1934,Mansi,MMR001013
 College,213,457,670,Mansi,MMR001013
 Vocational training,5,13,18,Mansi,MMR001013
 Undergraduate diploma,26,39,65,Mansi,MMR001013
 Graduate,454,506,960,Mansi,MMR001013
 Postgraduate diploma,6,15,21,Mansi,MMR001013
 Master degree,9,4,13,Mansi,MMR001013
 PhD,-,3,3,Mansi,MMR001013
 Other,2,576,578,Mansi,MMR001013
 Total,7323,40623,47946,Mansi,MMR001013
