Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,714,6901,7615,Myinmu,MMR005002
 Grade 1,430,2762,3192,Myinmu,MMR005002
 Grade 2,517,4413,4930,Myinmu,MMR005002
 Grade 3,790,7201,7991,Myinmu,MMR005002
 Grade 4,1255,9186,10441,Myinmu,MMR005002
 Grade 5,3219,28711,31930,Myinmu,MMR005002
 Grade 6,884,4056,4940,Myinmu,MMR005002
 Grade 7,776,3354,4130,Myinmu,MMR005002
 Grade 8,891,3270,4161,Myinmu,MMR005002
 Grade 9,949,3276,4225,Myinmu,MMR005002
 Grade 10,851,2457,3308,Myinmu,MMR005002
 Grade 11,1473,3254,4727,Myinmu,MMR005002
 College,600,1196,1796,Myinmu,MMR005002
 Vocational training,20,87,107,Myinmu,MMR005002
 Undergraduate diploma,108,159,267,Myinmu,MMR005002
 Graduate,1706,2499,4205,Myinmu,MMR005002
 Postgraduate diploma,39,89,128,Myinmu,MMR005002
 Master degree,28,66,94,Myinmu,MMR005002
 PhD,2,3,5,Myinmu,MMR005002
 Other,59,1320,1379,Myinmu,MMR005002
 Total,15311,84260,99571,Myinmu,MMR005002
