Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1232,32308,33540,Mineyan,MMR016003
 Grade 1,115,2398,2513,Mineyan,MMR016003
 Grade 2,162,2030,2192,Mineyan,MMR016003
 Grade 3,259,1501,1760,Mineyan,MMR016003
 Grade 4,259,1250,1509,Mineyan,MMR016003
 Grade 5,308,817,1125,Mineyan,MMR016003
 Grade 6,222,682,904,Mineyan,MMR016003
 Grade 7,226,399,625,Mineyan,MMR016003
 Grade 8,224,213,437,Mineyan,MMR016003
 Grade 9,268,263,531,Mineyan,MMR016003
 Grade 10,149,148,297,Mineyan,MMR016003
 Grade 11,306,82,388,Mineyan,MMR016003
 College,75,92,167,Mineyan,MMR016003
 Vocational training,6,15,21,Mineyan,MMR016003
 Undergraduate diploma,15,11,26,Mineyan,MMR016003
 Graduate,211,41,252,Mineyan,MMR016003
 Postgraduate diploma,7,1,8,Mineyan,MMR016003
 Master degree,9,3,12,Mineyan,MMR016003
 PhD,-,1,1,Mineyan,MMR016003
 Other,475,404,879,Mineyan,MMR016003
 Total,4528,42659,47187,Mineyan,MMR016003
