Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,655,18332,18987,Tada U,MMR010016
 Grade 1,341,3938,4279,Tada U,MMR010016
 Grade 2,478,6431,6909,Tada U,MMR010016
 Grade 3,801,9840,10641,Tada U,MMR010016
 Grade 4,2006,24696,26702,Tada U,MMR010016
 Grade 5,1051,21661,22712,Tada U,MMR010016
 Grade 6,584,5830,6414,Tada U,MMR010016
 Grade 7,660,4933,5593,Tada U,MMR010016
 Grade 8,742,4465,5207,Tada U,MMR010016
 Grade 9,477,3542,4019,Tada U,MMR010016
 Grade 10,1567,4209,5776,Tada U,MMR010016
 Grade 11,149,1141,1290,Tada U,MMR010016
 College,335,1227,1562,Tada U,MMR010016
 Vocational training,17,48,65,Tada U,MMR010016
 Undergraduate diploma,21,163,184,Tada U,MMR010016
 Graduate,1558,2608,4166,Tada U,MMR010016
 Postgraduate diploma,19,55,74,Tada U,MMR010016
 Master degree,15,49,64,Tada U,MMR010016
 PhD,4,7,11,Tada U,MMR010016
 Other,7,2680,2687,Tada U,MMR010016
 Total,11487,115855,127342,Tada U,MMR010016
