Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4184,29236,33420,Laukine,MMR015022
 Grade 1,898,4605,5503,Laukine,MMR015022
 Grade 2,1042,4284,5326,Laukine,MMR015022
 Grade 3,1453,4295,5748,Laukine,MMR015022
 Grade 4,1695,3981,5676,Laukine,MMR015022
 Grade 5,2022,3575,5597,Laukine,MMR015022
 Grade 6,2571,4225,6796,Laukine,MMR015022
 Grade 7,1610,1550,3160,Laukine,MMR015022
 Grade 8,1081,656,1737,Laukine,MMR015022
 Grade 9,1889,880,2769,Laukine,MMR015022
 Grade 10,1045,757,1802,Laukine,MMR015022
 Grade 11,406,307,713,Laukine,MMR015022
 College,513,210,723,Laukine,MMR015022
 Vocational training,57,17,74,Laukine,MMR015022
 Undergraduate diploma,57,43,100,Laukine,MMR015022
 Graduate,554,400,954,Laukine,MMR015022
 Postgraduate diploma,30,58,88,Laukine,MMR015022
 Master degree,8,23,31,Laukine,MMR015022
 PhD,-,5,5,Laukine,MMR015022
 Other,17,1,18,Laukine,MMR015022
 Total,21132,59108,80240,Laukine,MMR015022
