Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1224,13474,14698,Letpadan,MMR008008
 Grade 1,939,6972,7911,Letpadan,MMR008008
 Grade 2,1171,10039,11210,Letpadan,MMR008008
 Grade 3,1460,13541,15001,Letpadan,MMR008008
 Grade 4,3289,28625,31914,Letpadan,MMR008008
 Grade 5,2314,23880,26194,Letpadan,MMR008008
 Grade 6,1314,7958,9272,Letpadan,MMR008008
 Grade 7,1437,7351,8788,Letpadan,MMR008008
 Grade 8,1675,7087,8762,Letpadan,MMR008008
 Grade 9,1882,5840,7722,Letpadan,MMR008008
 Grade 10,2015,7152,9167,Letpadan,MMR008008
 Grade 11,1056,1226,2282,Letpadan,MMR008008
 College,660,1258,1918,Letpadan,MMR008008
 Vocational training,49,53,102,Letpadan,MMR008008
 Undergraduate diploma,104,136,240,Letpadan,MMR008008
 Graduate,2264,2563,4827,Letpadan,MMR008008
 Postgraduate diploma,20,54,74,Letpadan,MMR008008
 Master degree,12,15,27,Letpadan,MMR008008
 PhD,1,3,4,Letpadan,MMR008008
 Other,51,1102,1153,Letpadan,MMR008008
 Total,22937,138329,161266,Letpadan,MMR008008
