Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4663,-,4663,Hline,MMR013040
 Grade 1,2515,-,2515,Hline,MMR013040
 Grade 2,3097,-,3097,Hline,MMR013040
 Grade 3,4517,-,4517,Hline,MMR013040
 Grade 4,8041,-,8041,Hline,MMR013040
 Grade 5,12638,-,12638,Hline,MMR013040
 Grade 6,7802,-,7802,Hline,MMR013040
 Grade 7,6894,-,6894,Hline,MMR013040
 Grade 8,9259,-,9259,Hline,MMR013040
 Grade 9,11729,-,11729,Hline,MMR013040
 Grade 10,14698,-,14698,Hline,MMR013040
 Grade 11,18631,-,18631,Hline,MMR013040
 College,9660,-,9660,Hline,MMR013040
 Vocational training,504,-,504,Hline,MMR013040
 Undergraduate diploma,1262,-,1262,Hline,MMR013040
 Graduate,33408,-,33408,Hline,MMR013040
 Postgraduate diploma,1158,-,1158,Hline,MMR013040
 Master degree,1462,-,1462,Hline,MMR013040
 PhD,374,-,374,Hline,MMR013040
 Other,211,-,211,Hline,MMR013040
 Total,152523,-,152523,Hline,MMR013040
