Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,967,23157,24124,Taungtha,MMR010018
 Grade 1,371,5979,6350,Taungtha,MMR010018
 Grade 2,553,8883,9436,Taungtha,MMR010018
 Grade 3,859,14472,15331,Taungtha,MMR010018
 Grade 4,1084,21272,22356,Taungtha,MMR010018
 Grade 5,3033,45922,48955,Taungtha,MMR010018
 Grade 6,881,11143,12024,Taungtha,MMR010018
 Grade 7,792,9407,10199,Taungtha,MMR010018
 Grade 8,891,8788,9679,Taungtha,MMR010018
 Grade 9,1105,7833,8938,Taungtha,MMR010018
 Grade 10,1111,7608,8719,Taungtha,MMR010018
 Grade 11,1911,8481,10392,Taungtha,MMR010018
 College,652,3389,4041,Taungtha,MMR010018
 Vocational training,23,109,132,Taungtha,MMR010018
 Undergraduate diploma,59,390,449,Taungtha,MMR010018
 Graduate,1909,5334,7243,Taungtha,MMR010018
 Postgraduate diploma,29,171,200,Taungtha,MMR010018
 Master degree,36,76,112,Taungtha,MMR010018
 PhD,1,7,8,Taungtha,MMR010018
 Other,27,473,500,Taungtha,MMR010018
 Total,16294,182894,199188,Taungtha,MMR010018
