Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,143,1006,1149,Cikha(ST),MMR004005
 Grade 1,52,459,511,Cikha(ST),MMR004005
 Grade 2,56,564,620,Cikha(ST),MMR004005
 Grade 3,94,722,816,Cikha(ST),MMR004005
 Grade 4,100,778,878,Cikha(ST),MMR004005
 Grade 5,123,1267,1390,Cikha(ST),MMR004005
 Grade 6,73,539,612,Cikha(ST),MMR004005
 Grade 7,59,461,520,Cikha(ST),MMR004005
 Grade 8,74,506,580,Cikha(ST),MMR004005
 Grade 9,89,473,562,Cikha(ST),MMR004005
 Grade 10,40,411,451,Cikha(ST),MMR004005
 Grade 11,212,933,1145,Cikha(ST),MMR004005
 College,38,78,116,Cikha(ST),MMR004005
 Vocational training,-,5,5,Cikha(ST),MMR004005
 Undergraduate diploma,11,32,43,Cikha(ST),MMR004005
 Graduate,69,94,163,Cikha(ST),MMR004005
 Postgraduate diploma,4,11,15,Cikha(ST),MMR004005
 Master degree,5,16,21,Cikha(ST),MMR004005
 PhD,-,1,1,Cikha(ST),MMR004005
 Other,1,1,2,Cikha(ST),MMR004005
 Total,1243,8357,9600,Cikha(ST),MMR004005
