Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1234,-,1234,Lanmadaw,MMR013035
 Grade 1,478,-,478,Lanmadaw,MMR013035
 Grade 2,814,-,814,Lanmadaw,MMR013035
 Grade 3,940,-,940,Lanmadaw,MMR013035
 Grade 4,2391,-,2391,Lanmadaw,MMR013035
 Grade 5,2456,-,2456,Lanmadaw,MMR013035
 Grade 6,1424,-,1424,Lanmadaw,MMR013035
 Grade 7,1659,-,1659,Lanmadaw,MMR013035
 Grade 8,2455,-,2455,Lanmadaw,MMR013035
 Grade 9,2919,-,2919,Lanmadaw,MMR013035
 Grade 10,6132,-,6132,Lanmadaw,MMR013035
 Grade 11,2617,-,2617,Lanmadaw,MMR013035
 College,3876,-,3876,Lanmadaw,MMR013035
 Vocational training,160,-,160,Lanmadaw,MMR013035
 Undergraduate diploma,350,-,350,Lanmadaw,MMR013035
 Graduate,14827,-,14827,Lanmadaw,MMR013035
 Postgraduate diploma,334,-,334,Lanmadaw,MMR013035
 Master degree,372,-,372,Lanmadaw,MMR013035
 PhD,113,-,113,Lanmadaw,MMR013035
 Other,168,-,168,Lanmadaw,MMR013035
 Total,45719,-,45719,Lanmadaw,MMR013035
