Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,933,10560,11493,Padaung,MMR008003
 Grade 1,587,3752,4339,Padaung,MMR008003
 Grade 2,900,6987,7887,Padaung,MMR008003
 Grade 3,1000,10115,11115,Padaung,MMR008003
 Grade 4,3130,21534,24664,Padaung,MMR008003
 Grade 5,1450,18955,20405,Padaung,MMR008003
 Grade 6,839,5993,6832,Padaung,MMR008003
 Grade 7,987,5734,6721,Padaung,MMR008003
 Grade 8,1285,6767,8052,Padaung,MMR008003
 Grade 9,1047,7134,8181,Padaung,MMR008003
 Grade 10,1807,10335,12142,Padaung,MMR008003
 Grade 11,455,2328,2783,Padaung,MMR008003
 College,455,1495,1950,Padaung,MMR008003
 Vocational training,20,146,166,Padaung,MMR008003
 Undergraduate diploma,63,286,349,Padaung,MMR008003
 Graduate,1418,4399,5817,Padaung,MMR008003
 Postgraduate diploma,23,70,93,Padaung,MMR008003
 Master degree,11,69,80,Padaung,MMR008003
 PhD,4,6,10,Padaung,MMR008003
 Other,51,1260,1311,Padaung,MMR008003
 Total,16465,117925,134390,Padaung,MMR008003
