Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1339,39668,41007,Paingkyon(ST),MMR003002
 Grade 1,213,3860,4073,Paingkyon(ST),MMR003002
 Grade 2,200,4159,4359,Paingkyon(ST),MMR003002
 Grade 3,218,4979,5197,Paingkyon(ST),MMR003002
 Grade 4,238,4596,4834,Paingkyon(ST),MMR003002
 Grade 5,325,5680,6005,Paingkyon(ST),MMR003002
 Grade 6,190,3513,3703,Paingkyon(ST),MMR003002
 Grade 7,152,1711,1863,Paingkyon(ST),MMR003002
 Grade 8,157,1423,1580,Paingkyon(ST),MMR003002
 Grade 9,131,1501,1632,Paingkyon(ST),MMR003002
 Grade 10,127,810,937,Paingkyon(ST),MMR003002
 Grade 11,158,1043,1201,Paingkyon(ST),MMR003002
 College,28,235,263,Paingkyon(ST),MMR003002
 Vocational training,-,6,6,Paingkyon(ST),MMR003002
 Undergraduate diploma,4,28,32,Paingkyon(ST),MMR003002
 Graduate,108,328,436,Paingkyon(ST),MMR003002
 Postgraduate diploma,3,8,11,Paingkyon(ST),MMR003002
 Master degree,1,2,3,Paingkyon(ST),MMR003002
 Other,12,229,241,Paingkyon(ST),MMR003002
 Total,3604,73779,77383,Paingkyon(ST),MMR003002
