Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,668,34391,35059,Salin,MMR009010
 Grade 1,203,6570,6773,Salin,MMR009010
 Grade 2,320,8651,8971,Salin,MMR009010
 Grade 3,508,13189,13697,Salin,MMR009010
 Grade 4,814,18103,18917,Salin,MMR009010
 Grade 5,1784,60325,62109,Salin,MMR009010
 Grade 6,575,10621,11196,Salin,MMR009010
 Grade 7,573,9213,9786,Salin,MMR009010
 Grade 8,639,9479,10118,Salin,MMR009010
 Grade 9,791,9346,10137,Salin,MMR009010
 Grade 10,1117,7759,8876,Salin,MMR009010
 Grade 11,1332,8533,9865,Salin,MMR009010
 College,423,2394,2817,Salin,MMR009010
 Vocational training,44,256,300,Salin,MMR009010
 Undergraduate diploma,102,332,434,Salin,MMR009010
 Graduate,1456,5300,6756,Salin,MMR009010
 Postgraduate diploma,8,108,116,Salin,MMR009010
 Master degree,13,86,99,Salin,MMR009010
 PhD,1,1,2,Salin,MMR009010
 Other,10,782,792,Salin,MMR009010
 Total,11381,205439,216820,Salin,MMR009010
