Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,411,10678,11089,Lounglon,MMR006002
 Grade 1,180,6287,6467,Lounglon,MMR006002
 Grade 2,322,8662,8984,Lounglon,MMR006002
 Grade 3,428,11035,11463,Lounglon,MMR006002
 Grade 4,506,13711,14217,Lounglon,MMR006002
 Grade 5,767,21476,22243,Lounglon,MMR006002
 Grade 6,316,6462,6778,Lounglon,MMR006002
 Grade 7,268,4884,5152,Lounglon,MMR006002
 Grade 8,257,4756,5013,Lounglon,MMR006002
 Grade 9,287,4240,4527,Lounglon,MMR006002
 Grade 10,157,2769,2926,Lounglon,MMR006002
 Grade 11,377,2528,2905,Lounglon,MMR006002
 College,141,1151,1292,Lounglon,MMR006002
 Vocational training,2,40,42,Lounglon,MMR006002
 Undergraduate diploma,7,134,141,Lounglon,MMR006002
 Graduate,468,2368,2836,Lounglon,MMR006002
 Postgraduate diploma,11,86,97,Lounglon,MMR006002
 Master degree,4,80,84,Lounglon,MMR006002
 PhD,-,54,54,Lounglon,MMR006002
 Other,10,387,397,Lounglon,MMR006002
 Total,4919,101788,106707,Lounglon,MMR006002
