Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4014,30338,34352,Paung,MMR011008
 Grade 1,1029,8837,9866,Paung,MMR011008
 Grade 2,1761,12770,14531,Paung,MMR011008
 Grade 3,2500,18178,20678,Paung,MMR011008
 Grade 4,2506,19729,22235,Paung,MMR011008
 Grade 5,4386,27906,32292,Paung,MMR011008
 Grade 6,1874,10676,12550,Paung,MMR011008
 Grade 7,1497,8610,10107,Paung,MMR011008
 Grade 8,1356,7932,9288,Paung,MMR011008
 Grade 9,1276,7215,8491,Paung,MMR011008
 Grade 10,945,5095,6040,Paung,MMR011008
 Grade 11,1623,5293,6916,Paung,MMR011008
 College,505,2106,2611,Paung,MMR011008
 Vocational training,36,70,106,Paung,MMR011008
 Undergraduate diploma,102,198,300,Paung,MMR011008
 Graduate,1491,4091,5582,Paung,MMR011008
 Postgraduate diploma,36,79,115,Paung,MMR011008
 Master degree,13,67,80,Paung,MMR011008
 PhD,1,7,8,Paung,MMR011008
 Other,33,686,719,Paung,MMR011008
 Total,26984,169883,196867,Paung,MMR011008
