Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1202,13903,15105,Hmawby,MMR013003
 Grade 1,687,6622,7309,Hmawby,MMR013003
 Grade 2,820,9305,10125,Hmawby,MMR013003
 Grade 3,1174,14519,15693,Hmawby,MMR013003
 Grade 4,1636,19240,20876,Hmawby,MMR013003
 Grade 5,3048,35809,38857,Hmawby,MMR013003
 Grade 6,1568,14146,15714,Hmawby,MMR013003
 Grade 7,1298,11127,12425,Hmawby,MMR013003
 Grade 8,1547,11898,13445,Hmawby,MMR013003
 Grade 9,1966,13768,15734,Hmawby,MMR013003
 Grade 10,2064,14375,16439,Hmawby,MMR013003
 Grade 11,2941,16351,19292,Hmawby,MMR013003
 College,1039,4860,5899,Hmawby,MMR013003
 Vocational training,46,286,332,Hmawby,MMR013003
 Undergraduate diploma,111,524,635,Hmawby,MMR013003
 Graduate,2756,10407,13163,Hmawby,MMR013003
 Postgraduate diploma,89,340,429,Hmawby,MMR013003
 Master degree,43,316,359,Hmawby,MMR013003
 PhD,14,36,50,Hmawby,MMR013003
 Other,161,2267,2428,Hmawby,MMR013003
 Total,24210,200099,224309,Hmawby,MMR013003
