Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,923,22188,23111,An,MMR012014
 Grade 1,278,4918,5196,An,MMR012014
 Grade 2,387,7214,7601,An,MMR012014
 Grade 3,536,10275,10811,An,MMR012014
 Grade 4,583,12555,13138,An,MMR012014
 Grade 5,1288,15971,17259,An,MMR012014
 Grade 6,465,5533,5998,An,MMR012014
 Grade 7,327,3975,4302,An,MMR012014
 Grade 8,342,3652,3994,An,MMR012014
 Grade 9,509,3738,4247,An,MMR012014
 Grade 10,387,2530,2917,An,MMR012014
 Grade 11,634,3609,4243,An,MMR012014
 College,341,1125,1466,An,MMR012014
 Vocational training,14,148,162,An,MMR012014
 Undergraduate diploma,45,189,234,An,MMR012014
 Graduate,656,1535,2191,An,MMR012014
 Postgraduate diploma,7,53,60,An,MMR012014
 Master degree,11,51,62,An,MMR012014
 PhD,-,9,9,An,MMR012014
 Other,8,209,217,An,MMR012014
 Total,7741,99477,107218,An,MMR012014
