Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3277,17781,21058,Daik U,MMR007007
 Grade 1,1059,6191,7250,Daik U,MMR007007
 Grade 2,1273,8880,10153,Daik U,MMR007007
 Grade 3,2334,14554,16888,Daik U,MMR007007
 Grade 4,2839,17359,20198,Daik U,MMR007007
 Grade 5,5096,30269,35365,Daik U,MMR007007
 Grade 6,2295,10148,12443,Daik U,MMR007007
 Grade 7,1987,8270,10257,Daik U,MMR007007
 Grade 8,2068,7367,9435,Daik U,MMR007007
 Grade 9,2357,7274,9631,Daik U,MMR007007
 Grade 10,2001,4693,6694,Daik U,MMR007007
 Grade 11,3094,6493,9587,Daik U,MMR007007
 College,905,1671,2576,Daik U,MMR007007
 Vocational training,111,328,439,Daik U,MMR007007
 Undergraduate diploma,129,276,405,Daik U,MMR007007
 Graduate,2564,3134,5698,Daik U,MMR007007
 Postgraduate diploma,31,42,73,Daik U,MMR007007
 Master degree,22,26,48,Daik U,MMR007007
 PhD,5,3,8,Daik U,MMR007007
 Other,1681,2813,4494,Daik U,MMR007007
 Total,35128,147572,182700,Daik U,MMR007007
