Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,690,5122,5812,Maei(ST),MMR012016
 Grade 1,203,1879,2082,Maei(ST),MMR012016
 Grade 2,434,2559,2993,Maei(ST),MMR012016
 Grade 3,419,3817,4236,Maei(ST),MMR012016
 Grade 4,559,4794,5353,Maei(ST),MMR012016
 Grade 5,823,6717,7540,Maei(ST),MMR012016
 Grade 6,336,2423,2759,Maei(ST),MMR012016
 Grade 7,273,1556,1829,Maei(ST),MMR012016
 Grade 8,226,1465,1691,Maei(ST),MMR012016
 Grade 9,287,1523,1810,Maei(ST),MMR012016
 Grade 10,145,893,1038,Maei(ST),MMR012016
 Grade 11,327,1274,1601,Maei(ST),MMR012016
 College,79,235,314,Maei(ST),MMR012016
 Vocational training,2,16,18,Maei(ST),MMR012016
 Undergraduate diploma,4,39,43,Maei(ST),MMR012016
 Graduate,123,363,486,Maei(ST),MMR012016
 Postgraduate diploma,2,5,7,Maei(ST),MMR012016
 Master degree,-,3,3,Maei(ST),MMR012016
 PhD,1,1,2,Maei(ST),MMR012016
 Other,-,158,158,Maei(ST),MMR012016
 Total,4933,34842,39775,Maei(ST),MMR012016
