Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,259,3250,3509,Kaleinaung(ST),MMR006004
 Grade 1,87,1080,1167,Kaleinaung(ST),MMR006004
 Grade 2,150,1370,1520,Kaleinaung(ST),MMR006004
 Grade 3,232,1873,2105,Kaleinaung(ST),MMR006004
 Grade 4,279,2082,2361,Kaleinaung(ST),MMR006004
 Grade 5,483,2604,3087,Kaleinaung(ST),MMR006004
 Grade 6,202,962,1164,Kaleinaung(ST),MMR006004
 Grade 7,161,752,913,Kaleinaung(ST),MMR006004
 Grade 8,188,730,918,Kaleinaung(ST),MMR006004
 Grade 9,152,639,791,Kaleinaung(ST),MMR006004
 Grade 10,153,455,608,Kaleinaung(ST),MMR006004
 Grade 11,211,416,627,Kaleinaung(ST),MMR006004
 College,60,144,204,Kaleinaung(ST),MMR006004
 Vocational training,9,4,13,Kaleinaung(ST),MMR006004
 Undergraduate diploma,3,10,13,Kaleinaung(ST),MMR006004
 Graduate,155,259,414,Kaleinaung(ST),MMR006004
 Postgraduate diploma,1,3,4,Kaleinaung(ST),MMR006004
 Master degree,7,7,14,Kaleinaung(ST),MMR006004
 PhD,-,1,1,Kaleinaung(ST),MMR006004
 Other,54,58,112,Kaleinaung(ST),MMR006004
 Total,2846,16699,19545,Kaleinaung(ST),MMR006004
