Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3050,15828,18878,Minbu,MMR009007
 Grade 1,814,3837,4651,Minbu,MMR009007
 Grade 2,1182,6205,7387,Minbu,MMR009007
 Grade 3,1865,10329,12194,Minbu,MMR009007
 Grade 4,2518,13260,15778,Minbu,MMR009007
 Grade 5,5606,37310,42916,Minbu,MMR009007
 Grade 6,2222,8387,10609,Minbu,MMR009007
 Grade 7,1932,6436,8368,Minbu,MMR009007
 Grade 8,2166,6806,8972,Minbu,MMR009007
 Grade 9,2668,6743,9411,Minbu,MMR009007
 Grade 10,2635,5961,8596,Minbu,MMR009007
 Grade 11,4019,5955,9974,Minbu,MMR009007
 College,1406,2364,3770,Minbu,MMR009007
 Vocational training,152,153,305,Minbu,MMR009007
 Undergraduate diploma,165,316,481,Minbu,MMR009007
 Graduate,4043,4431,8474,Minbu,MMR009007
 Postgraduate diploma,68,124,192,Minbu,MMR009007
 Master degree,66,97,163,Minbu,MMR009007
 PhD,27,7,34,Minbu,MMR009007
 Other,38,2277,2315,Minbu,MMR009007
 Total,36642,136826,173468,Minbu,MMR009007
