Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2739,3694,6433,Pansai(KyuKute)(ST),MMR015009
 Grade 1,323,579,902,Pansai(KyuKute)(ST),MMR015009
 Grade 2,470,623,1093,Pansai(KyuKute)(ST),MMR015009
 Grade 3,665,943,1608,Pansai(KyuKute)(ST),MMR015009
 Grade 4,573,886,1459,Pansai(KyuKute)(ST),MMR015009
 Grade 5,749,1144,1893,Pansai(KyuKute)(ST),MMR015009
 Grade 6,468,771,1239,Pansai(KyuKute)(ST),MMR015009
 Grade 7,359,576,935,Pansai(KyuKute)(ST),MMR015009
 Grade 8,334,567,901,Pansai(KyuKute)(ST),MMR015009
 Grade 9,359,558,917,Pansai(KyuKute)(ST),MMR015009
 Grade 10,176,366,542,Pansai(KyuKute)(ST),MMR015009
 Grade 11,423,596,1019,Pansai(KyuKute)(ST),MMR015009
 College,95,93,188,Pansai(KyuKute)(ST),MMR015009
 Vocational training,4,2,6,Pansai(KyuKute)(ST),MMR015009
 Undergraduate diploma,13,13,26,Pansai(KyuKute)(ST),MMR015009
 Graduate,210,132,342,Pansai(KyuKute)(ST),MMR015009
 Postgraduate diploma,4,3,7,Pansai(KyuKute)(ST),MMR015009
 Master degree,1,2,3,Pansai(KyuKute)(ST),MMR015009
 PhD,-,1,1,Pansai(KyuKute)(ST),MMR015009
 Other,656,437,1093,Pansai(KyuKute)(ST),MMR015009
 Total,8621,11986,20607,Pansai(KyuKute)(ST),MMR015009
