Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,608,53956,54564,Myaing,MMR009020
 Grade 1,123,6016,6139,Myaing,MMR009020
 Grade 2,193,9701,9894,Myaing,MMR009020
 Grade 3,331,15297,15628,Myaing,MMR009020
 Grade 4,449,19076,19525,Myaing,MMR009020
 Grade 5,1126,42278,43404,Myaing,MMR009020
 Grade 6,373,9869,10242,Myaing,MMR009020
 Grade 7,315,7993,8308,Myaing,MMR009020
 Grade 8,398,7721,8119,Myaing,MMR009020
 Grade 9,425,6836,7261,Myaing,MMR009020
 Grade 10,560,5610,6170,Myaing,MMR009020
 Grade 11,788,6795,7583,Myaing,MMR009020
 College,300,2383,2683,Myaing,MMR009020
 Vocational training,21,148,169,Myaing,MMR009020
 Undergraduate diploma,17,197,214,Myaing,MMR009020
 Graduate,1076,4113,5189,Myaing,MMR009020
 Postgraduate diploma,9,79,88,Myaing,MMR009020
 Master degree,9,84,93,Myaing,MMR009020
 PhD,1,1,2,Myaing,MMR009020
 Other,23,501,524,Myaing,MMR009020
 Total,7145,198654,205799,Myaing,MMR009020
