Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3334,8440,11774,Kholan(ST),MMR014013
 Grade 1,295,544,839,Kholan(ST),MMR014013
 Grade 2,431,407,838,Kholan(ST),MMR014013
 Grade 3,469,448,917,Kholan(ST),MMR014013
 Grade 4,540,553,1093,Kholan(ST),MMR014013
 Grade 5,853,706,1559,Kholan(ST),MMR014013
 Grade 6,424,313,737,Kholan(ST),MMR014013
 Grade 7,365,247,612,Kholan(ST),MMR014013
 Grade 8,338,261,599,Kholan(ST),MMR014013
 Grade 9,366,322,688,Kholan(ST),MMR014013
 Grade 10,317,300,617,Kholan(ST),MMR014013
 Grade 11,374,285,659,Kholan(ST),MMR014013
 College,113,107,220,Kholan(ST),MMR014013
 Vocational training,4,37,41,Kholan(ST),MMR014013
 Undergraduate diploma,9,5,14,Kholan(ST),MMR014013
 Graduate,337,355,692,Kholan(ST),MMR014013
 Postgraduate diploma,2,-,2,Kholan(ST),MMR014013
 Master degree,4,20,24,Kholan(ST),MMR014013
 PhD,-,8,8,Kholan(ST),MMR014013
 Other,-,1,1,Kholan(ST),MMR014013
 Total,8575,13359,21934,Kholan(ST),MMR014013
