Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,529,11853,12382,Manton,MMR015019
 Grade 1,204,2219,2423,Manton,MMR015019
 Grade 2,185,2011,2196,Manton,MMR015019
 Grade 3,261,2361,2622,Manton,MMR015019
 Grade 4,354,2287,2641,Manton,MMR015019
 Grade 5,408,3242,3650,Manton,MMR015019
 Grade 6,254,1372,1626,Manton,MMR015019
 Grade 7,269,1068,1337,Manton,MMR015019
 Grade 8,263,860,1123,Manton,MMR015019
 Grade 9,233,871,1104,Manton,MMR015019
 Grade 10,218,476,694,Manton,MMR015019
 Grade 11,267,614,881,Manton,MMR015019
 College,65,80,145,Manton,MMR015019
 Vocational training,11,9,20,Manton,MMR015019
 Undergraduate diploma,8,21,29,Manton,MMR015019
 Graduate,168,86,254,Manton,MMR015019
 Postgraduate diploma,3,7,10,Manton,MMR015019
 Master degree,4,-,4,Manton,MMR015019
 PhD,1,1,2,Manton,MMR015019
 Other,2,294,296,Manton,MMR015019
 Total,3707,29732,33439,Manton,MMR015019
