Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2059,2380,4439,Homane(ST),MMR014018
 Grade 1,83,88,171,Homane(ST),MMR014018
 Grade 2,118,86,204,Homane(ST),MMR014018
 Grade 3,137,100,237,Homane(ST),MMR014018
 Grade 4,150,129,279,Homane(ST),MMR014018
 Grade 5,215,78,293,Homane(ST),MMR014018
 Grade 6,95,30,125,Homane(ST),MMR014018
 Grade 7,59,32,91,Homane(ST),MMR014018
 Grade 8,69,40,109,Homane(ST),MMR014018
 Grade 9,76,23,99,Homane(ST),MMR014018
 Grade 10,75,31,106,Homane(ST),MMR014018
 Grade 11,22,6,28,Homane(ST),MMR014018
 College,22,3,25,Homane(ST),MMR014018
 Vocational training,-,1,1,Homane(ST),MMR014018
 Undergraduate diploma,3,2,5,Homane(ST),MMR014018
 Graduate,51,13,64,Homane(ST),MMR014018
 Postgraduate diploma,5,6,11,Homane(ST),MMR014018
 Total,3239,3048,6287,Homane(ST),MMR014018
