Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1720,32851,34571,Minepyin,MMR016007
 Grade 1,156,1225,1381,Minepyin,MMR016007
 Grade 2,232,989,1221,Minepyin,MMR016007
 Grade 3,363,989,1352,Minepyin,MMR016007
 Grade 4,412,993,1405,Minepyin,MMR016007
 Grade 5,558,1265,1823,Minepyin,MMR016007
 Grade 6,344,508,852,Minepyin,MMR016007
 Grade 7,348,401,749,Minepyin,MMR016007
 Grade 8,397,341,738,Minepyin,MMR016007
 Grade 9,345,328,673,Minepyin,MMR016007
 Grade 10,604,318,922,Minepyin,MMR016007
 Grade 11,178,80,258,Minepyin,MMR016007
 College,107,30,137,Minepyin,MMR016007
 Vocational training,10,9,19,Minepyin,MMR016007
 Undergraduate diploma,15,7,22,Minepyin,MMR016007
 Graduate,328,105,433,Minepyin,MMR016007
 Postgraduate diploma,17,17,34,Minepyin,MMR016007
 Master degree,11,1,12,Minepyin,MMR016007
 PhD,1,-,1,Minepyin,MMR016007
 Other,76,568,644,Minepyin,MMR016007
 Total,6222,41025,47247,Minepyin,MMR016007
