Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,347,7702,8049,Minelon(ST),MMR015012
 Grade 1,87,1211,1298,Minelon(ST),MMR015012
 Grade 2,107,1371,1478,Minelon(ST),MMR015012
 Grade 3,166,1981,2147,Minelon(ST),MMR015012
 Grade 4,223,1761,1984,Minelon(ST),MMR015012
 Grade 5,352,3239,3591,Minelon(ST),MMR015012
 Grade 6,173,901,1074,Minelon(ST),MMR015012
 Grade 7,109,572,681,Minelon(ST),MMR015012
 Grade 8,107,464,571,Minelon(ST),MMR015012
 Grade 9,137,506,643,Minelon(ST),MMR015012
 Grade 10,71,227,298,Minelon(ST),MMR015012
 Grade 11,114,404,518,Minelon(ST),MMR015012
 College,41,86,127,Minelon(ST),MMR015012
 Vocational training,5,5,10,Minelon(ST),MMR015012
 Undergraduate diploma,3,7,10,Minelon(ST),MMR015012
 Graduate,83,133,216,Minelon(ST),MMR015012
 Postgraduate diploma,-,5,5,Minelon(ST),MMR015012
 Other,5,262,267,Minelon(ST),MMR015012
 Total,2130,20837,22967,Minelon(ST),MMR015012
