Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1980,31581,33561,Mineye`,MMR015003
 Grade 1,207,2592,2799,Mineye`,MMR015003
 Grade 2,258,2470,2728,Mineye`,MMR015003
 Grade 3,381,2717,3098,Mineye`,MMR015003
 Grade 4,427,1862,2289,Mineye`,MMR015003
 Grade 5,591,2535,3126,Mineye`,MMR015003
 Grade 6,368,715,1083,Mineye`,MMR015003
 Grade 7,301,499,800,Mineye`,MMR015003
 Grade 8,318,475,793,Mineye`,MMR015003
 Grade 9,404,451,855,Mineye`,MMR015003
 Grade 10,274,302,576,Mineye`,MMR015003
 Grade 11,385,296,681,Mineye`,MMR015003
 College,125,56,181,Mineye`,MMR015003
 Vocational training,5,3,8,Mineye`,MMR015003
 Undergraduate diploma,21,30,51,Mineye`,MMR015003
 Graduate,297,133,430,Mineye`,MMR015003
 Postgraduate diploma,18,34,52,Mineye`,MMR015003
 Master degree,8,3,11,Mineye`,MMR015003
 PhD,-,1,1,Mineye`,MMR015003
 Other,96,264,360,Mineye`,MMR015003
 Total,6464,47019,53483,Mineye`,MMR015003
