Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1508,64545,66053,Panwine,MMR015007
 Grade 1,175,3636,3811,Panwine,MMR015007
 Grade 2,177,3760,3937,Panwine,MMR015007
 Grade 3,308,3628,3936,Panwine,MMR015007
 Grade 4,200,2200,2400,Panwine,MMR015007
 Grade 5,181,1409,1590,Panwine,MMR015007
 Grade 6,161,1470,1631,Panwine,MMR015007
 Grade 7,98,682,780,Panwine,MMR015007
 Grade 8,60,291,351,Panwine,MMR015007
 Grade 9,49,322,371,Panwine,MMR015007
 Grade 10,36,152,188,Panwine,MMR015007
 Grade 11,20,119,139,Panwine,MMR015007
 College,2,45,47,Panwine,MMR015007
 Vocational training,4,13,17,Panwine,MMR015007
 Undergraduate diploma,-,8,8,Panwine,MMR015007
 Graduate,6,15,21,Panwine,MMR015007
 Postgraduate diploma,-,2,2,Panwine,MMR015007
 PhD,4,1,5,Panwine,MMR015007
 Other,82,560,642,Panwine,MMR015007
 Total,3071,82858,85929,Panwine,MMR015007
