Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,953,12860,13813,Linkhe`,MMR014018
 Grade 1,185,1014,1199,Linkhe`,MMR014018
 Grade 2,372,1301,1673,Linkhe`,MMR014018
 Grade 3,426,1551,1977,Linkhe`,MMR014018
 Grade 4,578,1904,2482,Linkhe`,MMR014018
 Grade 5,570,1940,2510,Linkhe`,MMR014018
 Grade 6,383,837,1220,Linkhe`,MMR014018
 Grade 7,347,756,1103,Linkhe`,MMR014018
 Grade 8,392,662,1054,Linkhe`,MMR014018
 Grade 9,339,635,974,Linkhe`,MMR014018
 Grade 10,674,629,1303,Linkhe`,MMR014018
 Grade 11,191,312,503,Linkhe`,MMR014018
 College,146,137,283,Linkhe`,MMR014018
 Vocational training,14,10,24,Linkhe`,MMR014018
 Undergraduate diploma,34,25,59,Linkhe`,MMR014018
 Graduate,476,337,813,Linkhe`,MMR014018
 Postgraduate diploma,10,15,25,Linkhe`,MMR014018
 Master degree,18,15,33,Linkhe`,MMR014018
 PhD,1,-,1,Linkhe`,MMR014018
 Other,19,158,177,Linkhe`,MMR014018
 Total,6128,25098,31226,Linkhe`,MMR014018
