Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,7572,19519,27091,Taikkyi,MMR013005
 Grade 1,2917,8000,10917,Taikkyi,MMR013005
 Grade 2,3920,10913,14833,Taikkyi,MMR013005
 Grade 3,5818,16953,22771,Taikkyi,MMR013005
 Grade 4,8029,22961,30990,Taikkyi,MMR013005
 Grade 5,12917,36014,48931,Taikkyi,MMR013005
 Grade 6,5621,10291,15912,Taikkyi,MMR013005
 Grade 7,4741,8245,12986,Taikkyi,MMR013005
 Grade 8,4680,7820,12500,Taikkyi,MMR013005
 Grade 9,4928,7997,12925,Taikkyi,MMR013005
 Grade 10,4761,6368,11129,Taikkyi,MMR013005
 Grade 11,6514,6888,13402,Taikkyi,MMR013005
 College,2299,2147,4446,Taikkyi,MMR013005
 Vocational training,74,125,199,Taikkyi,MMR013005
 Undergraduate diploma,174,245,419,Taikkyi,MMR013005
 Graduate,5032,3383,8415,Taikkyi,MMR013005
 Postgraduate diploma,128,121,249,Taikkyi,MMR013005
 Master degree,64,38,102,Taikkyi,MMR013005
 PhD,7,5,12,Taikkyi,MMR013005
 Other,415,4080,4495,Taikkyi,MMR013005
 Total,80611,172113,252724,Taikkyi,MMR013005
