Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2043,8836,10879,Maungtaw,MMR012009
 Grade 1,310,995,1305,Maungtaw,MMR012009
 Grade 2,424,1013,1437,Maungtaw,MMR012009
 Grade 3,516,1335,1851,Maungtaw,MMR012009
 Grade 4,646,1548,2194,Maungtaw,MMR012009
 Grade 5,800,2118,2918,Maungtaw,MMR012009
 Grade 6,518,979,1497,Maungtaw,MMR012009
 Grade 7,510,898,1408,Maungtaw,MMR012009
 Grade 8,702,853,1555,Maungtaw,MMR012009
 Grade 9,857,1127,1984,Maungtaw,MMR012009
 Grade 10,737,1079,1816,Maungtaw,MMR012009
 Grade 11,971,1199,2170,Maungtaw,MMR012009
 College,492,318,810,Maungtaw,MMR012009
 Vocational training,24,12,36,Maungtaw,MMR012009
 Undergraduate diploma,63,91,154,Maungtaw,MMR012009
 Graduate,1196,1068,2264,Maungtaw,MMR012009
 Postgraduate diploma,23,30,53,Maungtaw,MMR012009
 Master degree,14,9,23,Maungtaw,MMR012009
 Other,47,119,166,Maungtaw,MMR012009
 Total,10893,23627,34520,Maungtaw,MMR012009
