Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,310,15881,16191,Yebyu,MMR006004
 Grade 1,146,4027,4173,Yebyu,MMR006004
 Grade 2,213,6045,6258,Yebyu,MMR006004
 Grade 3,339,8129,8468,Yebyu,MMR006004
 Grade 4,443,9477,9920,Yebyu,MMR006004
 Grade 5,821,15550,16371,Yebyu,MMR006004
 Grade 6,294,5544,5838,Yebyu,MMR006004
 Grade 7,238,4070,4308,Yebyu,MMR006004
 Grade 8,260,3819,4079,Yebyu,MMR006004
 Grade 9,231,3459,3690,Yebyu,MMR006004
 Grade 10,208,2372,2580,Yebyu,MMR006004
 Grade 11,310,3014,3324,Yebyu,MMR006004
 College,121,1011,1132,Yebyu,MMR006004
 Vocational training,14,96,110,Yebyu,MMR006004
 Undergraduate diploma,7,150,157,Yebyu,MMR006004
 Graduate,337,2101,2438,Yebyu,MMR006004
 Postgraduate diploma,5,40,45,Yebyu,MMR006004
 Master degree,2,42,44,Yebyu,MMR006004
 PhD,1,4,5,Yebyu,MMR006004
 Other,56,1162,1218,Yebyu,MMR006004
 Total,4356,85993,90349,Yebyu,MMR006004
