Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1509,-,1509,Ahlon,MMR013037
 Grade 1,764,-,764,Ahlon,MMR013037
 Grade 2,1024,-,1024,Ahlon,MMR013037
 Grade 3,1407,-,1407,Ahlon,MMR013037
 Grade 4,2546,-,2546,Ahlon,MMR013037
 Grade 5,4356,-,4356,Ahlon,MMR013037
 Grade 6,2385,-,2385,Ahlon,MMR013037
 Grade 7,2088,-,2088,Ahlon,MMR013037
 Grade 8,2883,-,2883,Ahlon,MMR013037
 Grade 9,3692,-,3692,Ahlon,MMR013037
 Grade 10,4479,-,4479,Ahlon,MMR013037
 Grade 11,7469,-,7469,Ahlon,MMR013037
 College,3679,-,3679,Ahlon,MMR013037
 Vocational training,189,-,189,Ahlon,MMR013037
 Undergraduate diploma,346,-,346,Ahlon,MMR013037
 Graduate,12966,-,12966,Ahlon,MMR013037
 Postgraduate diploma,470,-,470,Ahlon,MMR013037
 Master degree,473,-,473,Ahlon,MMR013037
 PhD,105,-,105,Ahlon,MMR013037
 Other,184,-,184,Ahlon,MMR013037
 Total,53014,-,53014,Ahlon,MMR013037
