Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,465,13100,13565,Thabeikkyin,MMR010012
 Grade 1,135,3647,3782,Thabeikkyin,MMR010012
 Grade 2,204,5065,5269,Thabeikkyin,MMR010012
 Grade 3,320,8332,8652,Thabeikkyin,MMR010012
 Grade 4,378,10657,11035,Thabeikkyin,MMR010012
 Grade 5,1059,28098,29157,Thabeikkyin,MMR010012
 Grade 6,342,8387,8729,Thabeikkyin,MMR010012
 Grade 7,248,6182,6430,Thabeikkyin,MMR010012
 Grade 8,263,5974,6237,Thabeikkyin,MMR010012
 Grade 9,298,5741,6039,Thabeikkyin,MMR010012
 Grade 10,226,3877,4103,Thabeikkyin,MMR010012
 Grade 11,440,4565,5005,Thabeikkyin,MMR010012
 College,179,1846,2025,Thabeikkyin,MMR010012
 Vocational training,2,40,42,Thabeikkyin,MMR010012
 Undergraduate diploma,13,126,139,Thabeikkyin,MMR010012
 Graduate,355,2338,2693,Thabeikkyin,MMR010012
 Postgraduate diploma,10,74,84,Thabeikkyin,MMR010012
 Master degree,3,169,172,Thabeikkyin,MMR010012
 PhD,-,26,26,Thabeikkyin,MMR010012
 Other,128,649,777,Thabeikkyin,MMR010012
 Total,5068,108893,113961,Thabeikkyin,MMR010012
