Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,25,670,695,Meisi,MMR002007
 Grade 1,29,287,316,Meisi,MMR002007
 Grade 2,47,292,339,Meisi,MMR002007
 Grade 3,57,443,500,Meisi,MMR002007
 Grade 4,77,431,508,Meisi,MMR002007
 Grade 5,121,698,819,Meisi,MMR002007
 Grade 6,74,316,390,Meisi,MMR002007
 Grade 7,55,241,296,Meisi,MMR002007
 Grade 8,69,203,272,Meisi,MMR002007
 Grade 9,53,242,295,Meisi,MMR002007
 Grade 10,62,139,201,Meisi,MMR002007
 Grade 11,80,185,265,Meisi,MMR002007
 College,30,16,46,Meisi,MMR002007
 Vocational training,2,-,2,Meisi,MMR002007
 Undergraduate diploma,12,6,18,Meisi,MMR002007
 Graduate,73,58,131,Meisi,MMR002007
 Postgraduate diploma,3,-,3,Meisi,MMR002007
 PhD,1,-,1,Meisi,MMR002007
 Other,65,428,493,Meisi,MMR002007
 Total,935,4655,5590,Meisi,MMR002007
