Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,6357,23118,29475,Myingyan,MMR010017
 Grade 1,2357,5199,7556,Myingyan,MMR010017
 Grade 2,3377,8876,12253,Myingyan,MMR010017
 Grade 3,4936,12621,17557,Myingyan,MMR010017
 Grade 4,8571,21477,30048,Myingyan,MMR010017
 Grade 5,12289,46497,58786,Myingyan,MMR010017
 Grade 6,4567,9738,14305,Myingyan,MMR010017
 Grade 7,4174,8290,12464,Myingyan,MMR010017
 Grade 8,4617,7837,12454,Myingyan,MMR010017
 Grade 9,5146,8080,13226,Myingyan,MMR010017
 Grade 10,5293,6470,11763,Myingyan,MMR010017
 Grade 11,6720,6474,13194,Myingyan,MMR010017
 College,3195,2747,5942,Myingyan,MMR010017
 Vocational training,266,122,388,Myingyan,MMR010017
 Undergraduate diploma,571,482,1053,Myingyan,MMR010017
 Graduate,8432,4407,12839,Myingyan,MMR010017
 Postgraduate diploma,176,130,306,Myingyan,MMR010017
 Master degree,116,157,273,Myingyan,MMR010017
 PhD,20,33,53,Myingyan,MMR010017
 Other,115,1908,2023,Myingyan,MMR010017
 Total,81295,174663,255958,Myingyan,MMR010017
