Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,132,1955,2087,Dotphoneyan(ST),MMR001012
 Grade 1,51,429,480,Dotphoneyan(ST),MMR001012
 Grade 2,72,588,660,Dotphoneyan(ST),MMR001012
 Grade 3,135,853,988,Dotphoneyan(ST),MMR001012
 Grade 4,136,905,1041,Dotphoneyan(ST),MMR001012
 Grade 5,224,1103,1327,Dotphoneyan(ST),MMR001012
 Grade 6,128,631,759,Dotphoneyan(ST),MMR001012
 Grade 7,119,489,608,Dotphoneyan(ST),MMR001012
 Grade 8,129,442,571,Dotphoneyan(ST),MMR001012
 Grade 9,153,394,547,Dotphoneyan(ST),MMR001012
 Grade 10,153,215,368,Dotphoneyan(ST),MMR001012
 Grade 11,119,187,306,Dotphoneyan(ST),MMR001012
 College,40,61,101,Dotphoneyan(ST),MMR001012
 Vocational training,-,1,1,Dotphoneyan(ST),MMR001012
 Undergraduate diploma,5,11,16,Dotphoneyan(ST),MMR001012
 Graduate,89,90,179,Dotphoneyan(ST),MMR001012
 Postgraduate diploma,1,1,2,Dotphoneyan(ST),MMR001012
 Master degree,1,-,1,Dotphoneyan(ST),MMR001012
 Other,12,155,167,Dotphoneyan(ST),MMR001012
 Total,1699,8510,10209,Dotphoneyan(ST),MMR001012
