Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,151,7862,8013,Ngape,MMR009009
 Grade 1,90,1703,1793,Ngape,MMR009009
 Grade 2,160,2658,2818,Ngape,MMR009009
 Grade 3,232,3787,4019,Ngape,MMR009009
 Grade 4,291,4173,4464,Ngape,MMR009009
 Grade 5,659,10602,11261,Ngape,MMR009009
 Grade 6,217,2394,2611,Ngape,MMR009009
 Grade 7,205,1934,2139,Ngape,MMR009009
 Grade 8,233,1770,2003,Ngape,MMR009009
 Grade 9,234,1709,1943,Ngape,MMR009009
 Grade 10,302,1387,1689,Ngape,MMR009009
 Grade 11,277,1321,1598,Ngape,MMR009009
 College,152,546,698,Ngape,MMR009009
 Vocational training,27,71,98,Ngape,MMR009009
 Undergraduate diploma,38,76,114,Ngape,MMR009009
 Graduate,450,1084,1534,Ngape,MMR009009
 Postgraduate diploma,3,7,10,Ngape,MMR009009
 Master degree,-,17,17,Ngape,MMR009009
 PhD,2,1,3,Ngape,MMR009009
 Other,80,20,100,Ngape,MMR009009
 Total,3803,43122,46925,Ngape,MMR009009
