Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,210,19331,19541,Kyunsu,MMR006006
 Grade 1,161,9502,9663,Kyunsu,MMR006006
 Grade 2,207,11172,11379,Kyunsu,MMR006006
 Grade 3,333,15412,15745,Kyunsu,MMR006006
 Grade 4,434,19678,20112,Kyunsu,MMR006006
 Grade 5,554,25586,26140,Kyunsu,MMR006006
 Grade 6,364,9973,10337,Kyunsu,MMR006006
 Grade 7,289,7367,7656,Kyunsu,MMR006006
 Grade 8,363,7061,7424,Kyunsu,MMR006006
 Grade 9,437,6975,7412,Kyunsu,MMR006006
 Grade 10,577,4449,5026,Kyunsu,MMR006006
 Grade 11,478,3676,4154,Kyunsu,MMR006006
 College,183,978,1161,Kyunsu,MMR006006
 Vocational training,1,26,27,Kyunsu,MMR006006
 Undergraduate diploma,8,100,108,Kyunsu,MMR006006
 Graduate,420,1696,2116,Kyunsu,MMR006006
 Postgraduate diploma,3,32,35,Kyunsu,MMR006006
 Master degree,4,18,22,Kyunsu,MMR006006
 PhD,1,1,2,Kyunsu,MMR006006
 Other,26,2135,2161,Kyunsu,MMR006006
 Total,5053,145168,150221,Kyunsu,MMR006006
